date,52000,53000,54000,55000,56000,57000,58000,59000,60000,61000,62000,64000
2021-04-27,0.0,0.0,71.51,74.58,75.82,80.27,84.35,101.08,110.16,116.18,127.85,147.34
2021-04-28,86.93,74.25,78.34,69.93,78.5,91.26,106.16,132.95,148.55,169.26,149.98,189.08
