date,22000,22250,22500,22750,23000,23250,23500,23750,24000,24500,25000,25500,26000
2023-01-31,61.37,84.17,75.89,66.61,78.56,75.32,77.78,79.83,78.22,88.45,89.48,96.61,95.21
2023-02-01,93.01,0.0,0.0,88.54,78.02,59.46,69.83,67.38,70.56,87.41,98.19,114.31,110.65
