date,8000,8750,9000,9250,9500,9750,10000,10250,10500,10750,11000,11250,11500,11750,12000,12250
2020-07-09,0.0,0.0,0.0,49.91,52.04,51.61,48.55,50.51,58.15,54.39,62.16,0.0,70.08,73.46,76.11,80.81
2020-07-10,57.66,0.0,43.5,44.88,44.23,42.58,45.92,47.85,53.33,56.36,61.36,0.0,68.27,70.63,75.95,77.62
2020-07-11,0.0,0.0,0.0,45.34,45.09,43.91,45.71,47.29,49.98,59.65,61.49,0.0,0.0,66.79,0.0,80.36
2020-07-12,0.0,0.0,0.0,45.92,42.55,44.2,46.32,51.04,55.51,61.33,0.0,0.0,0.0,0.0,79.18,82.0
2020-07-13,0.0,0.0,41.68,44.02,41.97,43.73,44.94,50.95,53.53,56.93,66.37,68.59,71.7,74.86,0.0,81.3
2020-07-14,0.0,0.0,0.0,43.33,42.52,43.87,44.98,48.43,54.77,59.74,65.87,69.11,0.0,0.0,0.0,82.87
2020-07-15,0.0,0.0,45.5,44.6,42.8,43.28,47.22,54.15,58.92,65.64,70.25,73.74,76.19,81.86,86.69,87.95
2020-07-16,0.0,0.0,45.66,41.64,41.81,40.79,47.27,55.31,59.85,66.97,71.58,77.94,78.89,85.04,90.8,88.52
2020-07-17,0.0,55.72,35.53,36.68,36.55,39.87,45.07,54.77,59.89,67.65,70.81,77.59,84.6,81.09,87.13,94.49
2020-07-18,0.0,42.11,36.26,32.47,35.53,41.57,48.18,54.55,59.57,66.65,72.77,74.46,0.0,86.31,92.67,96.96
2020-07-19,0.0,51.13,40.61,35.52,35.11,44.86,53.28,63.98,65.4,68.6,72.5,0.0,85.18,0.0,0.0,0.0
2020-07-20,0.0,47.74,36.17,32.26,36.63,44.27,47.86,55.14,67.11,70.87,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-21,0.0,0.0,45.86,37.33,37.11,48.37,58.3,69.61,74.62,79.71,0.0,94.64,105.63,117.89,0.0,0.0
2020-07-22,86.61,69.83,101.57,56.57,50.38,51.58,74.45,85.05,98.5,101.79,111.58,0.0,0.0,0.0,0.0,0.0
2020-07-23,0.0,0.0,94.8,0.0,52.86,45.87,77.59,102.71,120.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
