,18000,19000,19500,20000,20500,21000,21500,22000,22500,23000
2022-07-10,0,0,0,0,63.59,62.42,65.29,70.23,66.52,72.8
2022-07-11,0,0,72.05,59.95,65.24,90.06,79.36,88.69,70.31,0
