,17500,18000,18500,18750,19000,19250,19500,19750,20000,20500
2022-10-22,0,0.0,0.0,0.0,29.4,29.64,29.18,32.43,36.8,49.89
2022-10-23,0,0.0,0,0,67.08,57.27,42.52,44.9,49.46,84.17
