date,26750,27000,27250,27500,27750,28000,28250,28500,28750,29000,29500,30000,30500,31000
2023-10-01,0.0,45.42,35.37,36.31,37.7,35.65,0.0,38.81,0.0,41.58,47.35,48.09,54.2,53.45
2023-10-02,0.0,54.82,36.52,33.87,31.39,31.87,37.99,40.85,41.47,46.43,46.15,56.7,58.99,58.23
2023-10-03,48.22,44.29,29.84,30.39,34.52,41.23,53.59,61.23,61.33,78.75,54.78,0.0,0.0,137.28
