date,60000,61000,62000,63000,64000,65000,66000,67000,70000
2021-11-05,65.13,64.19,59.93,61.56,63.06,64.84,79.22,74.52,79.66
2021-11-06,67.3,66.25,52.67,52.77,73.05,63.68,0.0,0.0,0.0
