,16000,17000,18000,19000,20000,21000,22000,23000,24000,24500,25000,25500,26000,26500,27000,27500,28000,28250,28500,28750,29000,29250,29500,29750,30000,30250,30500,30750,31000,31500,32000,32500,33000,34000,35000,36000,37000,38000,39000,40000,41000,42000,43000,44000,45000,46000,48000,49000,50000
2023-07-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.88,0,36.72,0,37.23,0,37.64,0,38.4,38.91,40.2,41.28,42.25,45.73,47.26,50.13,52.21,50.4,56.95,59.55,61.44,63.52,0,0,67.33,0,0,74.17,69.07
2023-07-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.15,0,33.53,0,34.93,0,36.14,35.37,36.54,37.28,38.59,41.26,43.57,48.12,48.28,51.03,0,55.67,0,0,0,0,0,0,0,0,0
2023-07-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.46,0,33.09,0,33.36,33.53,34.65,35.77,37.2,40.29,42.52,44.15,0,0,0,54.12,0,0,0,0,68.23,0,0,70.93,75.07
2023-07-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.31,0,34.2,0,34.36,0,34.27,35.32,36.02,36.83,37.84,39.31,42.64,45.93,48.01,50.45,52.61,54.8,0,0,0,0,0,69.23,0,0,0
2023-07-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.26,0,0,0,32.73,0,32.85,0,33.24,0,34.75,0,34.48,35.42,37.76,39.77,40.53,43.42,47.6,0,0,0,0,62.55,0,68.89,0,0,72.79,0,85.24,75.6,78.34
2023-07-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.98,0,31.68,0,32.59,0,33.69,0,34.63,35.85,37.02,39.48,40.9,44.18,46.57,48.65,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,32.77,0,32.64,0,33.11,0,33.9,0,35.34,35.91,37.44,38.51,41.14,44.0,47.7,0,0,0,60.53,0,0,68.42,0,0,76.7,79.01,0,0,0
2023-07-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.5,0,0,0,29.91,0,29.88,0,29.33,0,32.1,0,32.99,34.45,37.32,0,41.05,44.98,47.36,51.94,55.92,57.71,60.81,64.88,67.47,68.69,0,73.34,78.32,0,0,0,0
2023-07-28,0,0,0,0,0,0,0,0,0,0,0,0,38.02,0,0,0,0,0,29.85,0,28.85,0,28.0,0,28.43,0,29.1,0,30.48,32.11,35.52,35.79,39.9,43.52,46.8,51.14,0,57.29,0,65.97,0,65.38,0,0,75.98,0,0,0,0
2023-07-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.78,0,26.22,0,26.85,0,27.86,0,29.56,31.09,32.35,36.57,37.78,43.2,44.55,49.78,54.58,58.22,59.31,0,0,67.65,71.77,74.36,0,0,0,0,0
2023-07-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.47,0,30.32,0,30.87,0,32.67,0,32.55,35.16,37.66,36.73,39.48,44.07,48.96,51.67,0,58.74,60.99,0,0,71.97,0,0,0,0,0,0,0
2023-07-31,0,0,0,0,0,0,0,0,0,0,0,0,44.08,0,0,0,30.22,0,0,0,31.42,0,30.65,0,31.32,0,32.38,0,33.94,35.16,36.66,40.12,42.37,45.98,52.35,53.68,0,0,63.12,0,67.93,0,0,0,0,0,0,0,0
2023-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.9,0,30.65,0,30.8,0,30.72,0,30.41,0,31.1,0,32.45,36.26,38.55,40.77,43.54,48.56,53.44,59.12,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-02,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,36.13,33.69,0,32.08,0,31.16,0,31.44,0,32.9,0,34.97,0,35.77,39.38,42.08,41.2,44.05,48.41,53.22,57.31,61.08,63.13,68.91,71.43,74.32,0,0,0,0,0,0,0,0
2023-08-03,0,0,207.04,0.0,129.7,0.0,102.49,0,0,0,0,0,0,0,0,0,32.24,0,0,0,29.88,0,30.49,0,31.41,0,33.11,0,36.12,39.12,40.61,45.18,46.79,52.03,56.75,63.6,0,0,72.08,0,0,87.06,0,0,0,0,0,0,0
2023-08-04,0,0,0.0,277.75,0.0,0,0.0,0,0,0,0,0,0,42.79,0,31.36,0,0,26.84,0,27.43,0,29.35,0,31.78,0,34.48,0,40.27,40.8,44.15,46.97,50.09,53.91,62.43,64.35,68.24,71.01,0,0,0,0,0,0,0,0,0,0,0
2023-08-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.8,0,26.35,0,28.26,0,32.27,0,35.79,0,39.2,41.07,44.15,46.29,50.0,55.78,64.65,67.99,70.17,75.22,0,0,0,0,0,0,0,0,0,0,0
2023-08-06,0,0,0,0,0,0,0,0,0,0,0,52.54,0,0,0,38.09,0,0,29.85,0,29.34,0,31.18,0,33.78,0,34.95,0,40.02,45.28,48.25,49.95,54.47,63.21,60.79,68.73,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.79,0,30.26,0,27.72,0,30.43,0,34.65,0,38.83,0,42.51,47.92,51.15,54.69,60.3,65.98,67.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.96,0,0,0,34.46,0,34.48,0,33.36,0,37.45,0,42.76,47.26,53.28,59.84,64.25,76.26,80.05,87.0,93.07,0,0,0,0,0,0,0,0,0,0,0,0
