date,52000,54000,56000,57000,57500,58000,58500,59000,59500,60000,60500,61000,61500,62000,62500,63000,63500,64000,65000,66000,67000,68000,69000,70000
2024-08-12,0.0,0.0,0.0,55.25,0.0,68.7,63.56,64.14,62.68,61.12,62.59,59.44,60.82,62.25,60.91,62.85,62.62,62.73,64.0,64.86,67.91,78.07,72.83,68.51
2024-08-13,0.0,0.0,0.0,0.0,74.75,71.98,66.31,63.02,64.57,67.1,57.61,60.3,57.1,56.0,58.16,61.47,58.48,59.03,64.26,64.75,74.91,72.11,71.48,0.0
2024-08-14,0.0,117.84,86.31,0.0,61.2,54.24,53.0,40.89,44.76,47.96,52.81,61.57,65.7,74.98,74.84,75.63,81.89,78.05,84.05,106.41,88.28,94.63,107.02,111.16
