,15000,20000,24000,25000,26000,27000,28000,29000,30000,31000,32000,33000,34000,35000,36000,37000,38000,39000,40000,41000,42000,43000,44000,45000,50000,55000,60000,65000,70000,80000,90000,100000
2021-04-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.28,72.36,68.62,73.48,76.52,0,84.04
2021-04-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.02,66.12,67.13,68.67,72.36,73.99,78.26
2021-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.17,66.55,67.17,68.06,71.21,75.06,78.67
2021-05-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.92,68.93,69.26,70.72,72.74,76.09,79.58
2021-05-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.81,71.6,70.08,75.07,78.46,78.35,82.02
2021-05-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.38,0,0,0,0,0,0,74.48,75.06,76.4,77.51,79.61,82.27,84.06
2021-05-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.51,0,0,0,0,0,0,74.89,74.24,74.71,76.4,79.67,80.9,83.84
2021-05-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.37,73.49,75.04,75.77,78.78,80.99,86.0
2021-05-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.92,73.56,74.01,75.06,78.93,82.48,83.26
2021-05-08,0,0,0,0,0,0,0,0,108.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.5,77.45,79.81,80.12,83.04,82.2,85.96
2021-05-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.19,77.17,77.81,79.53,81.98,84.8,87.15
2021-05-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.67,0,0,0,0,0,0,78.27,80.73,84.08,82.95,85.8,88.86,90.86
2021-05-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.22,78.85,80.69,81.41,83.61,86.5,89.33
2021-05-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.02,0,0,0,0,0,0,84.5,87.42,83.95,86.16,88.39,90.94,93.24
2021-05-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.51,0,0,0,0,0,82.93,84.03,86.13,85.48,86.94,89.38,92.71,94.98
