date,44000,45000,46000,47000,48000,49000,50000,51000,52000,53000,54000
2021-02-11,111.36,0.0,112.23,125.57,123.19,123.07,122.85,116.52,123.32,132.57,129.32
2021-02-12,0.0,158.02,117.08,112.06,112.76,94.96,112.63,108.83,125.66,145.09,148.07
