date,Open,High,Low,Close,Volume
2019-12-31,7230.5,7306.0,7119.0,7187.5,11591.30762846
2020-01-01,7188.0,7240.0,7075.5,7081.5,7421.86042688
2020-01-02,7081.0,7300.0,6856.5,7194.5,30787.44831814
2020-01-03,7194.0,7407.0,7194.0,7344.5,17027.38788935
2020-01-04,7344.0,7496.5,7266.0,7465.5,10974.48778536
2020-01-05,7465.5,7581.0,7313.0,7505.0,14553.9827938
2020-01-06,7505.0,8013.5,7488.0,7884.0,26160.53007864
2020-01-07,7884.0,8464.0,7732.0,8302.0,46302.0948512
2020-01-08,8303.0,8418.0,7876.0,7949.0,44637.20232546
2020-01-09,7949.5,8003.0,7715.0,7747.0,29777.89783541
2020-01-10,7747.0,8254.5,7674.0,8077.0,35986.42293063
2020-01-11,8077.5,8297.0,7965.0,8098.5,13228.5298502
2020-01-12,8098.0,8204.5,8053.0,8072.0,8861.52327413
2020-01-13,8071.5,8592.0,8047.5,8511.5,24129.62883671
2020-01-14,8511.5,8921.0,8472.5,8617.5,61084.24567794
2020-01-15,8617.5,8909.5,8586.5,8669.5,25519.96507217
2020-01-16,8669.5,9005.5,8596.0,8938.0,23266.64714117
2020-01-17,8938.5,9026.0,8769.5,8846.0,24678.37799676
2020-01-18,8847.5,9193.0,8825.0,9079.5,17053.6739429
2020-01-19,9079.0,9122.0,8472.5,8650.0,34156.73580258
2020-01-20,8650.5,8740.5,8515.5,8626.0,13769.52111931
2020-01-21,8625.5,8800.0,8475.0,8720.0,16542.4494015
2020-01-22,8720.0,8723.0,8463.5,8556.0,15459.34564203
2020-01-23,8556.0,8602.0,8275.5,8325.0,22743.83769502
2020-01-24,8325.5,8515.0,8225.0,8298.5,18309.4886214
2020-01-25,8298.0,8408.5,8280.0,8373.0,6548.91035364
2020-01-26,8373.5,8689.5,8369.0,8646.0,12528.06394618
2020-01-27,8646.0,9157.0,8563.0,9038.5,35528.89722889
2020-01-28,9038.0,9447.0,8887.5,9366.5,37893.72711681
2020-01-29,9366.0,9446.5,9191.0,9382.0,31237.23277809
2020-01-30,9381.5,9578.5,9184.5,9363.0,35988.36131096
2020-01-31,9362.5,9467.5,9205.5,9426.5,19349.29514547
2020-02-01,9426.5,9426.5,9140.5,9373.5,15836.8233651
2020-02-02,9373.0,9632.0,9269.5,9362.0,24702.45787351
2020-02-03,9362.0,9386.5,9212.5,9270.5,16897.86377336
2020-02-04,9270.5,9286.5,9074.0,9254.0,16911.22347107
2020-02-05,9254.0,9788.5,9221.0,9630.0,32584.70218198
2020-02-06,9629.5,9874.0,9600.0,9791.0,31405.72604771
2020-02-07,9791.5,9891.0,9669.0,9763.5,20868.599383
2020-02-08,9763.0,10189.0,9763.0,10148.0,26958.23988525
2020-02-09,10147.5,10210.5,9730.0,9993.5,28236.43075626
2020-02-10,9993.5,9993.5,9724.5,9740.5,23026.45895769
2020-02-11,9740.5,10512.5,9733.0,10412.5,40593.98196541
2020-02-12,10410.0,10533.0,10260.0,10370.5,22343.25332285
2020-02-13,10370.5,10552.0,10099.0,10136.0,40044.72891451
2020-02-14,10136.0,10407.0,10127.5,10242.5,18242.9782801
2020-02-15,10242.5,10282.0,9747.5,9969.5,25479.96710711
2020-02-16,9970.0,10025.0,9631.0,9770.0,24843.75479888
2020-02-17,9770.0,9849.5,9472.0,9817.5,30450.86410723
2020-02-18,9818.0,10299.0,9625.5,10078.0,29053.55049133
2020-02-19,10085.0,10319.0,9287.0,9602.0,56250.59025666
2020-02-20,9602.0,9748.5,9396.0,9695.5,27574.77221567
2020-02-21,9695.5,9781.0,9573.5,9612.0,15664.88363745
2020-02-22,9614.0,9971.5,9614.0,9925.0,10389.06649749
2020-02-23,9924.5,10048.5,9590.0,9769.0,19127.90947435
2020-02-24,9769.0,9862.5,9487.5,9532.0,22767.33025813
2020-02-25,9532.0,9693.0,9102.0,9143.0,31245.34872399
2020-02-26,9143.5,9285.0,8526.0,8816.5,65350.85116171
2020-02-27,8816.5,8974.5,8684.5,8730.5,23484.2301594
2020-02-28,8731.5,8815.5,8435.0,8776.0,28769.14868806
2020-02-29,8776.5,8785.0,8517.0,8543.5,10800.9276362
2020-03-01,8543.5,8765.0,8404.5,8620.0,18351.75748551
2020-03-02,8619.5,8968.0,8619.5,8762.5,16235.41956352
2020-03-03,8762.0,8914.0,8660.0,8815.5,20769.75758763
2020-03-04,8816.0,8959.0,8666.5,8909.5,16796.97088113
2020-03-05,8909.5,9170.0,8902.5,9109.5,18615.49850969
2020-03-06,9109.0,9180.0,9025.0,9108.0,10740.61092383
2020-03-07,9108.5,9224.0,8710.0,8753.5,20596.62435961
2020-03-08,8753.0,8756.5,7682.0,7904.5,56343.08378788
2020-03-09,7904.0,7997.5,7631.5,7897.5,37713.84221861
2020-03-10,7897.5,8150.5,7734.0,7864.0,40449.53899773
2020-03-11,7864.0,7986.5,7350.0,7389.5,47505.66924023
2020-03-12,7390.0,7464.5,3605.0,5249.5,296630.88154961
2020-03-13,5251.5,5965.0,4780.0,5524.0,117732.05408711
2020-03-14,5524.0,5538.0,5041.5,5260.0,53552.31525335
2020-03-15,5260.0,5967.0,4771.0,4777.0,74000.6588805
2020-03-16,4774.5,5445.5,4417.0,5375.0,116226.04109095
2020-03-17,5374.5,5565.0,5060.5,5154.0,45968.95580912
2020-03-18,5153.5,5478.5,5000.0,5431.5,47482.20935501
2020-03-19,5431.0,6435.0,5395.0,6322.0,47389.70955643
