Variable,count,mean,std,min,25%,50%,75%,max
T Return,196.0,0.004205063730669351,0.08417913204611399,-0.492833739120552,-0.02995556493084,0.00442191642102245,0.04355536079601927,0.3246760764207447
Mean,196.0,49155.63074195335,28624.269642476203,6080.310891264122,26660.957528938936,43852.49039699663,65321.03768361205,116997.36832062928
Std,196.0,3682.9600054874686,2093.302726212397,486.268471059408,1816.435075425096,3691.7074874453183,5260.5011903523555,10272.144268185382
Skewness,196.0,0.19940780988237614,0.25519978480636046,-0.233237188214915,0.01971938703622835,0.18912552504301566,0.30981479415212976,1.122495176452876
Kurtosis,196.0,1.5436372388823583,0.5838136858700795,0.2551804951886702,1.136294229504803,1.4323289838658306,1.7984207303947861,3.566690273995844
5% Quantile,196.0,43369.62091836734,26061.808406313754,3617.9,24052.075,37729.05,57737.525,108390.5
25% Quantile,196.0,46897.11224489796,27618.65425303838,5346.700000000001,25740.0,41681.75,63109.725,113568.1
Median,196.0,49080.28673469387,28603.264293683067,6115.400000000001,26634.525,43725.600000000006,65284.875,116970.9
75% Quantile,196.0,51321.348979591836,29620.4146714693,6896.6,27552.575,45894.9,67939.6,120379.8
95% Quantile,196.0,55219.877040816325,31407.8485440108,8215.1,29120.75,49776.85,72891.125,126014.8
T-1 Return,196.0,0.009524802849401314,0.07333386058305287,-0.3515568333095296,-0.023005907610236777,0.0074382326082695505,0.04745318830186235,0.1737932862162699
T-2 Return,196.0,0.00900530947759486,0.08241452863617867,-0.492833739120552,-0.026490980941768875,0.00435310993452785,0.04745318830186235,0.3071267293880281
T-3 Return,196.0,0.011898886308014809,0.08937897762533703,-0.492833739120552,-0.026490980941768875,0.00442191642102245,0.051006620884798945,0.3246760764207447
T-4 Return,196.0,0.01523751486385021,0.08036343938657538,-0.2911410640525768,-0.026312118495395574,0.0069397461873213495,0.051006620884798945,0.3246760764207447
Fear and Greed Index,196.0,53.984693877551024,19.604938425688548,9.0,39.0,55.0,71.25,95.0
VIX,196.0,19.410204081632653,6.700575096572217,11.93,14.985,17.990000000000002,21.57,66.04
