Variable,Proposed_Coef,Proposed_p_value,Proposed_Sig,Proposed_R_squared,Proposed_MSE,Proposed_R2_OS,BF_Coef,BF_p_value,BF_Sig,BF_R_squared,BF_MSE,BF_R2_OS
Kurtosis,0.012475643957108928,0.24393751047788528,,0.012075593439512367,0.006964839964093934,0.003938345641418817,0.013330111625128193,0.21724741494734534,,0.012925234990863732,0.00695885001446549,-0.0006910444573633434
VIX,-0.000494606836214316,0.5867123830043701,,,,,-0.00048166075182804564,0.5955945687219611,,,,
T-1 Return,0.05259806708570512,0.5337878467726878,,,,,0.050805183648917174,0.5480853830567332,,,,
OOS Setting,"expanding, initial_window=120",,,,,,"expanding, initial_window=120",,,,,
