,index_price
2023-03-30,28120.8
2023-03-31,28488.66
2023-04-01,28428.88
2023-04-02,28153.88
2023-04-03,27984.21
2023-04-04,28139.94
2023-04-05,28135.84
2023-04-06,28046.67
2023-04-07,27910.29
2023-04-08,27937.46
2023-04-09,28516.54
2023-04-10,29755.43
2023-04-11,30254.34
2023-04-12,29860.6
2023-04-13,30277.75
2023-04-14,30467.51
2023-04-15,30292.41
2023-04-16,30373.77
2023-04-17,29461.44
2023-04-18,30327.15
2023-04-19,28733.64
2023-04-20,28257.87
2023-04-21,27314.81
2023-04-22,27618.75
2023-04-23,27458.41
2023-04-24,27099.68
2023-04-25,28161.77
2023-04-26,27741.6
2023-04-27,29429.27
2023-04-28,29341.72
2023-04-29,29217.12
2023-04-30,29607.78
2023-05-01,28015.46
2023-05-02,28460.14
2023-05-03,29004.68
2023-05-04,28875.36
2023-05-05,29507.95
2023-05-06,28641.37
2023-05-07,29068.01
2023-05-08,27683.49
2023-05-09,27613.06
2023-05-10,27398.5
2023-05-11,27023.13
2023-05-12,26390.14
2023-05-13,26908.35
2023-05-14,26938.52
2023-05-15,27169.29
2023-05-16,26984.14
2023-05-17,27394.94
2023-05-18,26881.31
2023-05-19,26900.64
2023-05-20,27068.78
2023-05-21,26796.53
2023-05-22,26887.01
2023-05-23,27277.28
2023-05-24,26230.28
2023-05-25,26522.67
2023-05-26,26707.81
2023-05-27,26816.43
2023-05-28,27639.44
2023-05-29,27669.95
2023-05-30,27733.49
2023-05-31,27080.84
2023-06-01,26789.63
2023-06-02,27244.05
2023-06-03,27007.0
2023-06-04,27404.08
2023-06-05,25670.85
2023-06-06,27226.52
2023-06-07,26273.73
2023-06-08,26568.28
2023-06-09,26484.31
2023-06-10,25773.82
2023-06-11,25892.02
2023-06-12,25713.88
2023-06-13,25857.66
2023-06-14,25093.44
2023-06-15,25573.42
2023-06-16,26307.51
2023-06-17,26510.39
2023-06-18,26630.68
2023-06-19,26637.99
2023-06-20,28231.5
2023-06-21,30089.55
2023-06-22,30107.41
2023-06-23,30892.34
2023-06-24,30596.67
2023-06-25,30516.19
2023-06-26,30148.51
2023-06-27,30608.43
2023-06-28,30165.56
2023-06-29,30499.63
2023-06-30,30485.64
2023-07-01,30567.83
2023-07-02,30493.04
2023-07-03,31224.36
2023-07-04,30918.23
2023-07-05,30519.68
2023-07-06,29977.34
2023-07-07,30316.11
2023-07-08,30108.51
2023-07-09,30261.34
2023-07-10,30818.41
2023-07-11,30712.79
2023-07-12,30369.3
2023-07-13,31320.65
2023-07-14,31107.61
2023-07-15,30310.84
2023-07-16,30271.94
2023-07-17,29681.75
2023-07-18,29889.15
2023-07-19,29878.44
2023-07-20,29837.79
2023-07-21,29909.66
2023-07-22,29663.98
2023-07-23,30284.61
2023-07-24,29154.77
2023-07-25,29238.89
2023-07-26,29595.46
2023-07-27,29174.19
2023-07-28,29303.83
2023-07-29,29361.17
2023-07-30,29247.76
2023-07-31,29231.37
2023-08-01,29707.91
2023-08-02,29138.1
2023-08-03,29183.0
2023-08-04,29041.99
2023-08-05,29015.07
2023-08-06,29098.06
2023-08-07,29143.4
2023-08-08,29826.97
2023-08-09,29436.39
2023-08-10,29432.19
2023-08-11,29387.82
2023-08-12,29412.74
2023-08-13,29284.93
2023-08-14,29357.46
2023-08-15,29155.17
2023-08-16,28740.56
2023-08-17,26675.55
2023-08-18,26040.62
2023-08-19,26110.16
2023-08-20,26120.19
2023-08-21,26128.31
2023-08-22,25989.08
2023-08-23,26393.42
2023-08-24,26099.47
2023-08-25,26047.14
2023-08-26,26012.48
2023-08-27,26070.63
2023-08-28,26048.81
2023-08-29,27768.29
2023-08-30,27274.85
2023-08-31,25999.49
2023-09-01,25800.44
2023-09-02,25921.45
2023-09-03,25954.66
2023-09-04,25825.16
2023-09-05,25758.2
2023-09-06,25756.4
2023-09-07,26344.94
2023-09-08,25873.72
2023-09-09,25852.1
2023-09-10,25973.78
2023-09-11,25156.56
2023-09-12,25833.2
2023-09-13,26271.59
2023-09-14,26533.4
2023-09-15,26689.18
2023-09-16,26519.08
2023-09-17,26470.56
2023-09-18,26828.1
2023-09-19,27215.59
2023-09-20,27126.08
