,index_price
2022-03-24,43904.78
2022-03-25,44516.36
2022-03-26,44797.13
2022-03-27,46843.31
2022-03-28,48028.16
2022-03-29,47674.41
2022-03-30,47027.65
2022-03-31,45852.77
2022-04-01,46309.72
2022-04-02,45828.61
2022-04-03,46185.61
2022-04-04,46501.11
2022-04-05,45673.14
2022-04-06,43406.94
2022-04-07,43634.31
2022-04-08,42135.19
2022-04-09,42615.29
2022-04-10,43092.71
2022-04-11,39242.44
2022-04-12,39905.14
2022-04-13,41194.59
2022-04-14,39768.92
2022-04-15,40354.83
2022-04-16,40503.87
2022-04-17,39640.07
2022-04-18,40796.8
2022-04-19,41292.47
2022-04-20,41345.64
2022-04-21,39914.37
2022-04-22,39705.11
2022-04-23,39660.07
2022-04-24,39462.0
2022-04-25,40340.25
2022-04-26,37968.95
2022-04-27,39187.16
2022-04-28,40123.24
2022-04-29,38620.77
2022-04-30,38386.28
2022-05-01,38418.08
2022-05-02,38553.93
2022-05-03,37858.38
2022-05-04,39680.24
2022-05-05,36342.34
2022-05-06,36049.16
2022-05-07,34999.84
2022-05-08,34261.41
2022-05-09,30289.02
2022-05-10,30575.37
2022-05-11,28824.96
2022-05-12,28978.36
2022-05-13,29519.6
2022-05-14,30047.23
2022-05-15,31319.03
2022-05-16,29637.1
2022-05-17,30496.95
2022-05-18,28665.55
2022-05-19,30230.37
2022-05-20,29148.2
2022-05-21,29409.56
2022-05-22,30278.78
2022-05-23,28974.0
2022-05-24,29443.21
2022-05-25,29775.08
2022-05-26,29425.58
2022-05-27,28570.34
2022-05-28,29079.28
2022-05-29,29207.05
2022-05-30,31746.95
2022-05-31,31843.04
2022-06-01,29870.06
2022-06-02,30650.51
2022-06-03,29820.39
2022-06-04,29825.16
2022-06-05,30004.55
2022-06-06,31359.12
2022-06-07,31479.49
2022-06-08,30313.33
2022-06-09,30095.46
2022-06-10,29052.29
2022-06-11,28233.58
2022-06-12,26574.03
2022-06-13,22439.12
2022-06-14,21467.65
2022-06-15,22543.25
2022-06-16,20313.0
2022-06-17,20439.04
2022-06-18,19064.42
2022-06-19,20539.38
2022-06-20,20674.76
2022-06-21,20635.14
2022-06-22,20081.06
2022-06-23,21062.33
2022-06-24,21331.75
2022-06-25,21185.06
2022-06-26,21111.04
2022-06-27,20892.03
2022-06-28,20254.32
2022-06-29,19956.35
2022-06-30,19928.61
2022-07-01,19308.34
2022-07-02,19305.76
2022-07-03,19540.76
2022-07-04,20270.19
2022-07-05,20170.0
2022-07-06,20191.5
2022-07-07,21745.71
2022-07-08,21747.16
2022-07-09,21607.02
2022-07-10,20778.07
2022-07-11,19970.41
2022-07-12,19278.24
2022-07-13,20205.36
2022-07-14,20492.39
2022-07-15,20793.32
2022-07-16,21112.86
