,index_price
2023-12-15,41983.15
2023-12-16,42178.64
2023-12-17,41369.67
2023-12-18,42656.46
2023-12-19,42223.43
2023-12-20,43644.25
2023-12-21,43854.54
2023-12-22,43985.1
2023-12-23,43737.4
2023-12-24,42995.99
2023-12-25,43609.29
2023-12-26,42535.06
2023-12-27,43450.84
2023-12-28,42593.45
2023-12-29,42080.18
2023-12-30,42162.22
2023-12-31,42260.71
2024-01-01,44192.85
2024-01-02,44843.93
2024-01-03,42848.8
2024-01-04,44180.79
2024-01-05,44157.42
2024-01-06,43989.09
2024-01-07,43926.91
2024-01-08,46984.19
2024-01-09,46124.9
2024-01-10,46669.02
2024-01-11,46403.13
