,index_price
2023-09-28,27022.41
2023-09-29,26891.66
2023-09-30,26974.2
2023-10-01,27987.31
2023-10-02,27532.66
2023-10-03,27287.33
2023-10-04,27665.74
2023-10-05,27514.03
2023-10-06,27917.34
2023-10-07,27972.26
2023-10-08,27928.82
2023-10-09,27615.45
2023-10-10,27394.19
2023-10-11,26766.11
2023-10-12,26731.27
2023-10-13,26840.7
2023-10-14,26847.53
2023-10-15,27075.21
2023-10-16,28503.59
2023-10-17,28419.24
2023-10-18,28335.43
2023-10-19,28716.01
2023-10-20,29689.54
2023-10-21,29945.37
2023-10-22,29991.75
2023-10-23,32999.57
2023-10-24,34137.66
2023-10-25,34416.62
2023-10-26,34237.09
2023-10-27,33853.59
2023-10-28,34117.58
2023-10-29,34614.08
2023-10-30,34456.08
2023-10-31,34510.21
2023-11-01,35226.97
2023-11-02,34774.56
2023-11-03,34622.17
2023-11-04,35153.96
2023-11-05,34790.27
2023-11-06,35124.67
2023-11-07,35408.91
2023-11-08,35774.28
2023-11-09,36543.23
2023-11-10,37362.61
2023-11-11,36839.85
2023-11-12,36975.24
2023-11-13,36504.08
2023-11-14,35585.99
2023-11-15,37950.32
2023-11-16,36057.55
2023-11-17,36510.39
2023-11-18,36748.14
2023-11-19,37491.37
2023-11-20,37563.5
2023-11-21,35880.88
2023-11-22,37474.95
2023-11-23,37331.41
2023-11-24,37776.7
2023-11-25,37821.43
2023-11-26,37668.86
2023-11-27,37263.81
2023-11-28,37965.14
2023-11-29,37886.21
2023-11-30,37715.53
2023-12-01,38749.76
2023-12-02,39473.02
2023-12-03,39995.24
2023-12-04,41895.72
2023-12-05,43960.65
2023-12-06,43729.15
2023-12-07,43303.86
2023-12-08,44281.03
2023-12-09,43680.77
2023-12-10,43766.06
2023-12-11,41208.95
2023-12-12,41475.62
2023-12-13,42930.87
2023-12-14,43085.16
2023-12-15,42092.14
2023-12-16,42326.39
2023-12-17,41278.63
2023-12-18,42633.19
2023-12-19,42331.45
2023-12-20,43554.96
2023-12-21,43946.26
2023-12-22,44024.23
2023-12-23,43831.78
2023-12-24,43048.08
2023-12-25,43746.47
2023-12-26,42427.36
2023-12-27,43412.52
2023-12-28,42604.47
2023-12-29,41848.08
2023-12-30,42245.42
2023-12-31,42524.24
2024-01-01,44195.83
2024-01-02,44975.21
2024-01-03,42783.52
2024-01-04,44334.7
2024-01-05,44086.26
2024-01-06,43858.6
2024-01-07,44241.49
2024-01-08,46973.39
2024-01-09,46031.7
2024-01-10,46668.11
2024-01-11,46627.62
2024-01-12,41626.17
2024-01-13,42917.79
2024-01-14,41844.78
2024-01-15,42584.4
2024-01-16,43297.81
2024-01-17,42678.57
2024-01-18,40841.63
2024-01-19,41612.8
2024-01-20,41538.04
2024-01-21,41672.33
2024-01-22,39472.16
2024-01-23,39379.36
2024-01-24,39816.32
2024-01-25,39932.19
2024-01-26,41814.3
2024-01-27,42145.63
2024-01-28,41719.12
2024-01-29,43182.74
2024-01-30,42804.98
2024-01-31,42563.65
2024-02-01,43040.15
2024-02-02,43110.64
2024-02-03,42983.56
2024-02-04,42696.75
2024-02-05,42583.03
2024-02-06,43188.57
2024-02-07,44191.27
2024-02-08,45473.52
2024-02-09,47198.45
2024-02-10,47873.24
2024-02-11,48113.25
2024-02-12,49948.53
2024-02-13,49739.19
2024-02-14,51868.33
2024-02-15,51416.07
2024-02-16,51941.85
2024-02-17,51867.55
2024-02-18,52220.54
2024-02-19,51740.04
2024-02-20,52324.52
2024-02-21,51648.08
2024-02-22,51317.51
2024-02-23,50856.51
2024-02-24,51650.81
2024-02-25,51718.58
2024-02-26,54581.89
2024-02-27,56943.44
2024-02-28,61841.15
2024-02-29,61384.45
2024-03-01,62483.6
2024-03-02,62242.52
2024-03-03,63212.56
2024-03-04,68326.97
2024-03-05,64067.89
2024-03-06,66292.05
2024-03-07,67048.89
2024-03-08,68340.16
2024-03-09,68218.37
2024-03-10,68645.57
2024-03-11,72264.73
2024-03-12,71079.16
2024-03-13,73002.37
2024-03-14,71389.19
2024-03-15,68465.34
2024-03-16,65357.19
2024-03-17,68194.72
2024-03-18,67785.52
