,index_price
2021-05-27,38674.67
2021-05-28,35698.16
2021-05-29,34850.51
2021-05-30,35630.51
2021-05-31,36790.33
2021-06-01,35864.46
2021-06-02,37623.31
2021-06-03,38678.3
2021-06-04,36975.87
2021-06-05,35343.68
2021-06-06,35546.11
2021-06-07,33780.73
2021-06-08,33582.97
2021-06-09,37355.14
2021-06-10,36832.87
2021-06-11,37300.55
2021-06-12,35545.73
2021-06-13,38857.82
2021-06-14,40472.2
2021-06-15,40219.99
2021-06-16,38241.38
2021-06-17,38121.16
2021-06-18,35795.81
2021-06-19,35504.92
2021-06-20,35640.44
2021-06-21,31584.03
2021-06-22,32474.62
2021-06-23,33391.57
2021-06-24,34562.53
2021-06-25,31850.42
2021-06-26,32108.7
2021-06-27,34640.14
2021-06-28,34388.08
2021-06-29,35847.66
2021-06-30,35033.46
2021-07-01,33559.21
2021-07-02,33815.54
2021-07-03,34402.16
2021-07-04,35305.19
2021-07-05,33727.81
2021-07-06,34283.36
2021-07-07,33926.71
2021-07-08,32610.76
2021-07-09,33871.07
2021-07-10,33618.98
2021-07-11,34269.65
2021-07-12,33258.94
2021-07-13,32621.4
2021-07-14,32796.73
2021-07-15,31587.12
2021-07-16,31421.76
2021-07-17,31537.5
2021-07-18,31524.6
2021-07-19,30949.39
2021-07-20,29762.72
2021-07-21,32073.87
2021-07-22,32326.68
2021-07-23,33635.65
2021-07-24,34287.96
2021-07-25,35373.77
2021-07-26,37315.03
2021-07-27,39478.71
2021-07-28,40030.05
2021-07-29,40040.22
2021-07-30,42283.9
2021-07-31,41361.01
2021-08-01,39964.47
2021-08-02,39115.6
2021-08-03,38198.25
2021-08-04,39784.23
2021-08-05,40818.66
2021-08-06,42916.73
2021-08-07,44619.63
2021-08-08,44192.3
2021-08-09,46341.6
2021-08-10,45601.31
2021-08-11,45642.05
2021-08-12,44414.62
2021-08-13,47836.41
2021-08-14,47162.77
2021-08-15,47062.35
2021-08-16,45922.79
2021-08-17,44696.13
2021-08-18,44758.99
2021-08-19,46766.2
2021-08-20,49339.44
2021-08-21,48867.51
2021-08-22,49332.23
2021-08-23,49514.16
2021-08-24,47752.23
2021-08-25,48999.18
2021-08-26,46922.57
