,index_price
2022-07-28,23948.15
2022-07-29,23922.47
2022-07-30,23578.3
2022-07-31,23316.48
2022-08-01,23347.5
2022-08-02,23025.21
2022-08-03,23004.25
2022-08-04,22641.18
2022-08-05,22940.67
2022-08-06,23129.15
2022-08-07,23155.15
2022-08-08,23804.79
2022-08-09,23181.63
2022-08-10,23933.06
2022-08-11,23955.87
2022-08-12,24417.57
2022-08-13,24390.14
2022-08-14,24422.16
2022-08-15,24108.29
2022-08-16,23876.73
2022-08-17,23368.22
2022-08-18,23177.5
2022-08-19,20840.55
2022-08-20,20845.05
2022-08-21,21661.21
2022-08-22,21371.12
2022-08-23,21515.98
2022-08-24,21367.74
2022-08-25,21592.39
2022-08-26,20248.14
2022-08-27,19892.44
2022-08-28,19531.86
2022-08-29,20087.78
2022-08-30,19912.38
2022-08-31,20044.33
2022-09-01,20072.14
2022-09-02,19931.3
2022-09-03,19842.6
2022-09-04,19961.45
2022-09-05,19785.1
2022-09-06,18815.19
2022-09-07,19274.99
2022-09-08,19335.46
2022-09-09,21351.71
2022-09-10,21733.12
2022-09-11,21837.88
2022-09-12,22327.52
2022-09-13,20173.6
2022-09-14,20238.39
2022-09-15,19670.89
2022-09-16,19729.6
2022-09-17,20126.08
2022-09-18,19453.87
2022-09-19,19538.11
2022-09-20,18873.21
2022-09-21,18500.23
2022-09-22,19404.42
2022-09-23,19291.82
2022-09-24,18926.83
2022-09-25,18805.24
2022-09-26,19224.36
2022-09-27,19079.21
2022-09-28,19414.41
2022-09-29,19594.02
2022-09-30,19455.12
2022-10-01,19314.92
2022-10-02,19058.39
2022-10-03,19653.96
2022-10-04,20354.9
2022-10-05,20132.88
2022-10-06,19952.26
2022-10-07,19551.83
2022-10-08,19400.92
2022-10-09,19442.52
2022-10-10,19143.89
2022-10-11,19025.24
2022-10-12,19158.35
2022-10-13,19383.49
2022-10-14,19185.13
2022-10-15,19056.05
2022-10-16,19263.66
2022-10-17,19554.26
2022-10-18,19354.86
2022-10-19,19116.61
2022-10-20,19044.61
2022-10-21,19167.41
2022-10-22,19203.78
2022-10-23,19567.92
2022-10-24,19339.48
2022-10-25,20097.94
2022-10-26,20765.46
2022-10-27,20283.34
