,index_price
2022-08-25,21521.07
2022-08-26,20205.29
2022-08-27,20066.95
2022-08-28,19909.2
2022-08-29,20335.97
2022-08-30,19834.77
2022-08-31,20042.75
2022-09-01,20146.8
2022-09-02,19904.39
2022-09-03,19772.26
2022-09-04,19828.48
2022-09-05,19783.38
2022-09-06,18812.25
2022-09-07,19318.11
2022-09-08,19303.97
2022-09-09,21396.25
2022-09-10,21581.12
2022-09-11,21785.53
2022-09-12,22307.87
2022-09-13,20097.09
2022-09-14,19868.91
2022-09-15,19701.99
2022-09-16,19729.49
2022-09-17,20055.41
2022-09-18,19492.83
2022-09-19,19589.35
2022-09-20,18862.43
2022-09-21,18484.97
2022-09-22,19438.5
2022-09-23,19240.77
2022-09-24,18901.53
2022-09-25,18754.04
2022-09-26,19214.73
2022-09-27,19134.56
2022-09-28,19432.91
2022-09-29,19607.61
2022-09-30,19456.22
2022-10-01,19315.14
2022-10-02,19056.07
2022-10-03,19646.95
2022-10-04,20367.66
2022-10-05,20177.56
2022-10-06,19896.68
2022-10-07,19518.03
2022-10-08,19423.51
2022-10-09,19446.93
2022-10-10,19148.61
2022-10-11,19035.96
2022-10-12,19157.92
2022-10-13,19375.8
2022-10-14,19183.78
2022-10-15,19085.2
2022-10-16,19305.11
2022-10-17,19561.55
2022-10-18,19343.13
2022-10-19,19124.44
2022-10-20,19045.84
2022-10-21,19181.33
2022-10-22,19207.69
2022-10-23,19587.06
2022-10-24,19355.28
2022-10-25,20096.75
2022-10-26,20796.4
2022-10-27,20280.32
2022-10-28,20612.92
2022-10-29,20780.68
2022-10-30,20627.59
2022-10-31,20492.14
2022-11-01,20480.54
2022-11-02,20152.28
2022-11-03,20208.2
2022-11-04,21148.03
2022-11-05,21292.1
2022-11-06,20912.69
2022-11-07,20565.63
2022-11-08,18539.75
2022-11-09,15884.51
2022-11-10,17548.2
2022-11-11,16979.28
2022-11-12,16770.61
2022-11-13,16313.15
2022-11-14,16586.47
2022-11-15,16866.99
2022-11-16,16647.15
2022-11-17,16680.63
2022-11-18,16697.71
2022-11-19,16688.96
2022-11-20,16263.57
2022-11-21,15757.25
2022-11-22,16148.65
2022-11-23,16588.41
2022-11-24,16601.34
