,index_price
2021-02-25,47085.75
2021-02-26,45932.62
2021-02-27,46452.49
2021-02-28,45526.59
2021-03-01,49211.44
2021-03-02,47799.5
2021-03-03,50409.63
2021-03-04,48168.16
2021-03-05,48882.55
2021-03-06,48908.98
2021-03-07,50977.48
2021-03-08,52275.99
2021-03-09,54819.76
2021-03-10,56132.23
2021-03-11,57826.25
2021-03-12,57273.0
2021-03-13,61356.98
2021-03-14,59789.92
2021-03-15,56410.54
2021-03-16,56472.89
2021-03-17,58962.68
2021-03-18,57681.07
2021-03-19,58058.97
2021-03-20,58381.68
2021-03-21,57448.23
2021-03-22,54162.91
2021-03-23,54582.3
2021-03-24,52490.24
2021-03-25,52304.92
2021-03-26,55088.51
2021-03-27,55871.72
2021-03-28,55473.39
2021-03-29,57382.37
2021-03-30,58707.62
2021-03-31,58725.21
2021-04-01,58869.84
2021-04-02,59170.46
2021-04-03,57087.86
2021-04-04,58211.26
2021-04-05,59118.39
2021-04-06,58088.14
2021-04-07,55886.34
2021-04-08,58003.71
2021-04-09,58110.04
2021-04-10,59739.29
2021-04-11,59930.69
2021-04-12,60038.09
2021-04-13,63552.83
2021-04-14,62669.14
2021-04-15,63223.58
2021-04-16,61453.3
2021-04-17,60069.86
2021-04-18,56257.58
2021-04-19,55800.43
2021-04-20,56441.19
2021-04-21,53790.55
2021-04-22,51908.28
2021-04-23,51172.46
2021-04-24,50084.22
2021-04-25,49122.92
2021-04-26,54056.62
2021-04-27,55039.61
2021-04-28,54836.11
2021-04-29,53637.44
2021-04-30,57837.58
2021-05-01,57915.25
2021-05-02,56471.96
2021-05-03,57323.42
2021-05-04,53303.38
2021-05-05,57120.73
2021-05-06,56601.02
2021-05-07,57396.92
2021-05-08,58963.75
2021-05-09,58407.19
2021-05-10,55827.1
2021-05-11,56762.55
2021-05-12,49411.7
2021-05-13,49500.56
2021-05-14,49930.26
2021-05-15,46777.59
2021-05-16,46430.42
2021-05-17,43440.48
2021-05-18,42929.55
2021-05-19,36957.7
2021-05-20,40597.23
2021-05-21,37344.94
2021-05-22,37799.92
2021-05-23,34890.12
2021-05-24,38709.2
2021-05-25,38481.36
2021-05-26,39316.23
2021-05-27,38563.09
