,index_price
2021-06-24,34752.33
2021-06-25,32146.55
2021-06-26,31790.88
2021-06-27,34707.64
2021-06-28,34349.47
2021-06-29,35883.42
2021-06-30,35090.7
2021-07-01,33320.68
2021-07-02,33732.31
2021-07-03,34618.04
2021-07-04,35918.62
2021-07-05,33390.76
2021-07-06,33894.85
2021-07-07,34137.18
2021-07-08,32792.11
2021-07-09,33598.25
2021-07-10,33330.46
2021-07-11,33909.49
2021-07-12,32682.54
2021-07-13,32720.59
2021-07-14,32827.61
2021-07-15,31816.24
2021-07-16,31421.7
2021-07-17,31719.97
2021-07-18,31741.21
2021-07-19,30756.26
2021-07-20,29629.92
2021-07-21,31857.49
2021-07-22,32194.09
2021-07-23,33526.39
2021-07-24,34240.07
2021-07-25,34764.37
2021-07-26,37509.5
2021-07-27,39370.78
2021-07-28,39182.49
2021-07-29,39813.05
2021-07-30,41451.47
2021-07-31,41703.13
2021-08-01,39931.47
2021-08-02,38836.94
2021-08-03,37736.13
2021-08-04,39810.56
2021-08-05,40935.34
2021-08-06,42698.14
2021-08-07,44356.43
2021-08-08,43708.94
2021-08-09,45914.11
2021-08-10,45844.04
2021-08-11,46731.51
2021-08-12,44406.33
2021-08-13,47547.17
2021-08-14,47163.15
2021-08-15,46886.57
2021-08-16,46218.13
2021-08-17,44731.17
2021-08-18,44979.46
2021-08-19,46600.29
2021-08-20,49258.47
2021-08-21,49358.94
2021-08-22,49445.33
2021-08-23,49100.66
2021-08-24,48169.44
2021-08-25,48853.63
2021-08-26,47354.49
2021-08-27,49040.43
2021-08-28,48718.78
2021-08-29,48751.81
2021-08-30,46949.41
2021-08-31,47170.23
2021-09-01,48482.84
2021-09-02,49538.28
2021-09-03,49702.15
2021-09-04,50117.21
2021-09-05,51707.79
2021-09-06,52567.03
2021-09-07,46805.37
2021-09-08,46180.39
2021-09-09,46453.02
2021-09-10,44396.82
2021-09-11,45044.53
2021-09-12,46416.32
2021-09-13,44851.83
2021-09-14,46694.19
2021-09-15,48110.14
2021-09-16,47306.62
2021-09-17,46999.64
2021-09-18,48496.01
2021-09-19,47531.65
2021-09-20,42756.07
2021-09-21,40542.15
2021-09-22,43358.61
2021-09-23,44839.68
2021-09-24,42780.62
2021-09-25,42640.53
2021-09-26,43125.96
2021-09-27,42236.47
2021-09-28,40935.87
2021-09-29,41531.32
2021-09-30,43711.66
2021-10-01,48047.86
2021-10-02,48217.19
2021-10-03,48157.39
2021-10-04,49101.7
2021-10-05,51572.5
2021-10-06,55406.51
2021-10-07,53798.4
2021-10-08,54024.94
2021-10-09,54732.0
2021-10-10,55414.27
2021-10-11,57280.17
2021-10-12,55277.93
2021-10-13,57462.72
2021-10-14,57344.52
2021-10-15,61687.4
2021-10-16,60922.04
2021-10-17,61528.07
2021-10-18,61958.8
2021-10-19,64180.75
2021-10-20,66061.33
2021-10-21,62663.03
2021-10-22,60624.98
2021-10-23,60942.56
2021-10-24,60754.19
2021-10-25,62908.27
2021-10-26,60356.08
2021-10-27,58772.11
2021-10-28,61294.47
2021-10-29,62044.75
2021-10-30,61507.72
2021-10-31,60884.48
2021-11-01,61039.8
2021-11-02,62840.88
2021-11-03,62916.28
2021-11-04,61389.78
2021-11-05,61139.8
2021-11-06,61513.2
2021-11-07,63284.01
2021-11-08,67320.44
2021-11-09,67783.73
2021-11-10,65102.13
2021-11-11,64869.04
2021-11-12,63072.88
2021-11-13,64154.83
2021-11-14,64096.95
2021-11-15,63816.55
2021-11-16,60927.53
2021-11-17,59902.49
2021-11-18,56840.25
2021-11-19,57979.77
2021-11-20,59681.49
2021-11-21,58936.48
2021-11-22,56655.54
2021-11-23,57292.24
2021-11-24,57329.58
2021-11-25,59170.79
2021-11-26,54388.78
2021-11-27,54796.27
2021-11-28,57172.67
2021-11-29,57992.69
2021-11-30,57207.04
2021-12-01,57220.01
2021-12-02,56586.19
2021-12-03,53431.96
2021-12-04,49050.81
2021-12-05,49334.05
2021-12-06,50529.19
2021-12-07,50734.25
2021-12-08,50517.68
2021-12-09,47428.17
2021-12-10,47067.75
2021-12-11,49457.69
2021-12-12,50231.88
2021-12-13,47013.55
2021-12-14,48551.38
2021-12-15,49031.7
2021-12-16,47787.07
2021-12-17,46159.27
2021-12-18,46926.57
2021-12-19,47027.99
2021-12-20,46908.04
2021-12-21,48574.02
2021-12-22,48975.76
2021-12-23,50769.7
2021-12-24,50679.01
2021-12-25,50646.26
2021-12-26,50714.78
2021-12-27,50742.56
2021-12-28,47531.33
2021-12-29,46351.18
2021-12-30,46804.45
2021-12-31,46435.84
2022-01-01,47732.07
2022-01-02,47366.95
2022-01-03,46387.21
2022-01-04,45837.43
2022-01-05,43461.04
2022-01-06,43157.95
2022-01-07,41525.28
2022-01-08,41759.18
2022-01-09,42242.6
2022-01-10,41869.15
2022-01-11,42706.52
2022-01-12,43987.83
2022-01-13,42667.38
2022-01-14,43046.65
2022-01-15,43217.98
2022-01-16,43223.54
2022-01-17,42253.0
2022-01-18,42382.95
2022-01-19,41967.74
2022-01-20,40827.74
2022-01-21,36438.0
2022-01-22,34899.59
2022-01-23,36253.55
2022-01-24,36758.25
2022-01-25,36991.21
2022-01-26,36875.77
2022-01-27,37157.4
2022-01-28,37800.31
2022-01-29,38172.29
2022-01-30,37928.18
2022-01-31,38446.38
2022-02-01,38802.87
2022-02-02,36975.05
2022-02-03,37028.32
2022-02-04,41577.24
2022-02-05,41603.1
2022-02-06,42394.41
2022-02-07,43819.42
2022-02-08,44081.23
2022-02-09,44584.4
2022-02-10,44173.23
2022-02-11,42029.84
2022-02-12,42015.99
2022-02-13,42244.08
2022-02-14,42620.77
2022-02-15,44734.89
2022-02-16,43874.45
2022-02-17,40594.81
2022-02-18,40016.87
2022-02-19,40090.18
2022-02-20,38453.62
2022-02-21,36990.41
2022-02-22,38388.37
2022-02-23,37357.93
2022-02-24,38146.47
2022-02-25,39200.53
2022-02-26,39416.21
2022-02-27,37520.11
2022-02-28,43167.82
2022-03-01,44440.75
2022-03-02,43935.36
2022-03-03,42568.19
2022-03-04,39230.61
2022-03-05,39536.32
2022-03-06,38365.25
2022-03-07,38219.04
2022-03-08,38751.38
2022-03-09,41969.36
2022-03-10,39463.85
2022-03-11,38856.78
2022-03-12,38794.72
2022-03-13,37777.17
2022-03-14,39430.23
2022-03-15,39374.46
2022-03-16,40905.69
2022-03-17,40983.91
2022-03-18,41782.66
2022-03-19,42223.72
2022-03-20,41286.59
2022-03-21,41051.13
2022-03-22,42543.07
2022-03-23,42894.72
2022-03-24,43952.85
2022-03-25,44376.75
2022-03-26,44560.05
2022-03-27,46865.23
2022-03-28,47076.8
2022-03-29,47497.13
2022-03-30,46971.75
2022-03-31,45507.67
2022-04-01,46286.57
2022-04-02,45951.29
2022-04-03,46306.18
2022-04-04,46698.53
2022-04-05,45654.59
2022-04-06,43138.36
2022-04-07,43488.49
2022-04-08,42226.98
2022-04-09,42770.17
2022-04-10,42117.79
2022-04-11,39454.07
2022-04-12,40163.38
2022-04-13,41141.74
2022-04-14,39926.3
2022-04-15,40586.47
2022-04-16,40416.97
2022-04-17,39575.35
2022-04-18,40902.15
2022-04-19,41492.19
2022-04-20,41613.45
2022-04-21,40369.49
2022-04-22,39676.85
2022-04-23,39538.38
2022-04-24,39483.65
2022-04-25,40513.59
2022-04-26,37822.06
2022-04-27,39203.5
2022-04-28,39764.88
2022-04-29,38588.34
2022-04-30,37717.36
2022-05-01,38410.3
2022-05-02,38517.39
2022-05-03,37724.11
2022-05-04,39685.96
2022-05-05,36568.68
2022-05-06,36006.81
2022-05-07,35646.29
2022-05-08,33994.98
2022-05-09,30067.13
2022-05-10,30899.84
2022-05-11,28906.11
2022-05-12,28935.48
2022-05-13,29238.05
2022-05-14,30046.99
2022-05-15,31299.88
2022-05-16,29853.05
2022-05-17,30484.19
2022-05-18,28708.26
2022-05-19,30338.2
2022-05-20,29233.97
2022-05-21,29430.33
