,index_price
2023-06-22,29963.62
2023-06-23,30732.15
2023-06-24,30663.96
2023-06-25,30483.39
2023-06-26,30254.63
2023-06-27,30728.16
2023-06-28,30159.48
2023-06-29,30515.89
2023-06-30,30483.25
2023-07-01,30602.62
2023-07-02,30556.07
2023-07-03,30957.84
2023-07-04,30670.06
2023-07-05,30462.86
2023-07-06,29922.53
2023-07-07,30310.2
2023-07-08,30109.69
2023-07-09,30245.1
2023-07-10,30379.75
2023-07-11,30591.74
2023-07-12,30335.36
2023-07-13,31157.78
2023-07-14,30228.36
2023-07-15,30326.41
2023-07-16,30286.97
2023-07-17,30072.07
2023-07-18,29815.27
2023-07-19,30048.26
2023-07-20,29770.1
2023-07-21,29994.7
2023-07-22,29725.11
2023-07-23,30020.15
2023-07-24,29183.69
2023-07-25,29210.93
2023-07-26,29501.75
2023-07-27,29195.46
2023-07-28,29301.21
2023-07-29,29318.64
2023-07-30,29199.75
2023-07-31,29224.42
2023-08-01,29216.53
2023-08-02,29097.79
2023-08-03,29293.81
2023-08-04,29048.69
2023-08-05,29008.18
2023-08-06,29136.14
2023-08-07,29136.62
2023-08-08,29767.17
2023-08-09,29400.44
2023-08-10,29413.37
2023-08-11,29388.26
2023-08-12,29438.83
2023-08-13,29304.0
2023-08-14,29376.95
2023-08-15,29166.01
2023-08-16,28713.34
2023-08-17,26636.11
2023-08-18,26053.81
2023-08-19,26130.8
2023-08-20,26221.39
2023-08-21,26134.69
2023-08-22,25909.72
2023-08-23,26396.58
2023-08-24,26109.93
2023-08-25,26038.18
2023-08-26,26012.12
2023-08-27,26079.9
2023-08-28,25993.77
2023-08-29,27617.57
2023-08-30,27303.86
2023-08-31,25990.91
2023-09-01,25614.27
2023-09-02,25834.59
2023-09-03,25962.25
2023-09-04,25664.24
2023-09-05,25702.79
2023-09-06,25731.43
2023-09-07,26212.89
2023-09-08,25890.53
2023-09-09,25863.85
2023-09-10,25925.3
2023-09-11,25157.71
2023-09-12,26199.77
2023-09-13,26255.2
