,index_price
2023-04-27,29445.16
2023-04-28,29432.2
2023-04-29,29101.81
2023-04-30,29421.99
2023-05-01,28059.12
2023-05-02,28656.54
2023-05-03,29010.89
2023-05-04,28797.2
2023-05-05,29542.49
2023-05-06,28716.75
2023-05-07,28484.98
2023-05-08,27555.63
2023-05-09,27573.05
2023-05-10,27623.51
2023-05-11,26915.03
2023-05-12,26804.63
2023-05-13,26826.7
2023-05-14,26950.65
2023-05-15,27167.12
2023-05-16,27008.03
2023-05-17,27406.44
2023-05-18,26853.21
2023-05-19,26883.82
2023-05-20,27123.64
2023-05-21,26740.12
2023-05-22,26910.42
2023-05-23,27220.94
2023-05-24,26353.59
2023-05-25,26523.93
2023-05-26,26719.07
2023-05-27,26866.28
2023-05-28,28104.58
2023-05-29,27770.29
2023-05-30,27700.76
2023-05-31,27273.51
2023-06-01,26829.79
2023-06-02,27253.39
2023-06-03,27075.25
2023-06-04,27074.32
2023-06-05,25764.25
2023-06-06,27256.12
2023-06-07,26357.77
2023-06-08,26523.16
2023-06-09,26477.65
2023-06-10,25882.1
2023-06-11,26019.28
2023-06-12,25894.39
2023-06-13,25857.24
2023-06-14,25129.1
2023-06-15,25562.29
2023-06-16,26330.51
2023-06-17,26513.5
2023-06-18,26333.28
2023-06-19,26815.4
2023-06-20,28322.5
2023-06-21,30087.59
2023-06-22,29892.02
2023-06-23,30686.7
2023-06-24,30561.09
2023-06-25,30471.04
2023-06-26,30272.78
2023-06-27,30696.34
2023-06-28,30079.78
2023-06-29,30458.07
2023-06-30,30483.12
2023-07-01,30589.82
2023-07-02,30584.97
2023-07-03,31129.97
2023-07-04,30816.73
2023-07-05,30510.47
2023-07-06,29912.27
2023-07-07,30305.03
2023-07-08,30276.13
2023-07-09,30173.11
2023-07-10,30416.14
2023-07-11,30616.4
2023-07-12,30406.67
2023-07-13,31486.58
2023-07-14,30326.29
2023-07-15,30295.27
2023-07-16,30220.29
2023-07-17,30155.24
2023-07-18,29864.78
2023-07-19,29906.96
2023-07-20,29798.35
2023-07-21,29909.28
2023-07-22,29734.66
2023-07-23,30076.82
2023-07-24,29181.08
2023-07-25,29235.59
2023-07-26,29343.69
2023-07-27,29218.91
