,index_price
2020-08-31,11651.16
2020-09-01,11924.19
2020-09-02,11383.01
2020-09-03,10186.64
2020-09-04,10590.11
2020-09-05,10121.3
2020-09-06,10306.78
2020-09-07,10356.65
2020-09-08,10113.27
2020-09-09,10259.86
2020-09-10,10332.8
2020-09-11,10373.51
2020-09-12,10419.15
2020-09-13,10299.4
2020-09-14,10632.53
2020-09-15,10855.38
2020-09-16,10993.64
2020-09-17,10932.9
2020-09-18,10934.63
2020-09-19,11064.14
2020-09-20,10914.83
2020-09-21,10476.65
2020-09-22,10522.86
2020-09-23,10232.32
2020-09-24,10745.56
2020-09-25,10687.92
2020-09-26,10733.14
2020-09-27,10769.12
2020-09-28,10700.97
2020-09-29,10841.89
2020-09-30,10763.05
2020-10-01,10596.28
2020-10-02,10567.38
2020-10-03,10542.0
2020-10-04,10663.02
2020-10-05,10775.06
2020-10-06,10582.69
2020-10-07,10672.22
2020-10-08,10892.28
2020-10-09,11097.42
2020-10-10,11290.77
2020-10-11,11380.85
2020-10-12,11544.08
2020-10-13,11434.0
2020-10-14,11429.17
2020-10-15,11496.75
2020-10-16,11358.74
2020-10-17,11368.16
2020-10-18,11514.97
2020-10-19,11759.26
2020-10-20,11945.77
2020-10-21,12838.58
2020-10-22,12978.81
2020-10-23,12984.61
2020-10-24,13123.98
2020-10-25,13043.62
2020-10-26,13079.78
2020-10-27,13669.83
2020-10-28,13289.77
2020-10-29,13481.27
2020-10-30,13565.52
2020-10-31,13811.02
2020-11-01,13735.8
2020-11-02,13578.5
2020-11-03,14025.22
2020-11-04,14158.0
2020-11-05,15608.97
2020-11-06,15612.79
2020-11-07,14831.36
2020-11-08,15483.93
2020-11-09,15340.9
2020-11-10,15294.5
2020-11-11,15703.24
2020-11-12,16298.4
2020-11-13,16347.36
2020-11-14,16117.36
2020-11-15,15967.03
2020-11-16,16741.15
2020-11-17,17684.49
2020-11-18,17865.86
2020-11-19,17852.01
2020-11-20,18654.11
2020-11-21,18688.77
2020-11-22,18422.61
2020-11-23,18409.86
2020-11-24,19166.03
2020-11-25,18735.34
2020-11-26,17092.88
