model_name,variables,filter_rule,method,variable,coefficient,p_value
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-3 Return >= -0.093502,2pt,Median,-2.4423958286489077e-07,0.2785757958868958
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-3 Return >= -0.093502,2pt,Fear and Greed Index,0.0004994293541017079,0.12737722775380333
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-3 Return >= -0.036365,1pt,const,-0.014780397198241839,0.40565584959396994
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-3 Return >= -0.036365,1pt,Skewness,-0.0053859282040375454,0.6187553853916523
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-3 Return >= -0.036365,1pt,Median,-1.9506400015164598e-07,0.4090454576034659
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-3 Return >= -0.036365,1pt,Fear and Greed Index,0.0005286398215027977,0.12489360164569865
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-3 Return >= -0.036365,2pt,const,-0.014760812667213513,0.4062612487941555
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-3 Return >= -0.036365,2pt,Skewness,-0.005343042874496365,0.6214036493363901
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-3 Return >= -0.036365,2pt,Median,-1.9492746429291974e-07,0.4093827861515068
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-3 Return >= -0.036365,2pt,Fear and Greed Index,0.0005280771716436351,0.12529065733321973
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-3 Return <= 0.066016,1pt,const,-0.013302122666171716,0.4373540594645682
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-3 Return <= 0.066016,1pt,Skewness,-0.01406508702407704,0.32280691919895843
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-3 Return <= 0.066016,1pt,Median,-3.7131503055324554e-07,0.115856230228406
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-3 Return <= 0.066016,1pt,Fear and Greed Index,0.0008410429634061118,0.014076976527510353
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-3 Return <= 0.066016,2pt,const,-0.01330853202661116,0.4371508485009752
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-3 Return <= 0.066016,2pt,Skewness,-0.014069201360139316,0.32245197681912285
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-3 Return <= 0.066016,2pt,Median,-3.7131565849652255e-07,0.11585341630192353
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-3 Return <= 0.066016,2pt,Fear and Greed Index,0.0008411812177882528,0.01406509355958024
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-3 Return <= 0.106004,1pt,const,-0.008694425899488198,0.5851758969785552
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-3 Return <= 0.106004,1pt,Skewness,-0.014212186201897181,0.2342396306325917
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-3 Return <= 0.106004,1pt,Median,-3.979682285774997e-07,0.07741461779305667
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-3 Return <= 0.106004,1pt,Fear and Greed Index,0.000769075901966547,0.016963843973820985
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-3 Return <= 0.106004,2pt,const,-0.008691464218650169,0.5853056977775719
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-3 Return <= 0.106004,2pt,Skewness,-0.01419655034307409,0.2344645867408222
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-3 Return <= 0.106004,2pt,Median,-3.9798189467558687e-07,0.07740862192030351
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-3 Return <= 0.106004,2pt,Fear and Greed Index,0.0007690429561109109,0.016975042932244073
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-4 Return >= -0.093502,1pt,const,-0.00970543592985491,0.5516447370604489
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-4 Return >= -0.093502,1pt,Skewness,-0.014697002441722297,0.16372230242281066
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-4 Return >= -0.093502,1pt,Median,-2.423782211719018e-07,0.2707233307104885
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-4 Return >= -0.093502,1pt,Fear and Greed Index,0.0005368158122764877,0.10011551316653913
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-4 Return >= -0.093502,2pt,const,-0.009703670720982141,0.5517276401977113
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-4 Return >= -0.093502,2pt,Skewness,-0.014680956282277132,0.16393508858523037
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-4 Return >= -0.093502,2pt,Median,-2.4234976776621637e-07,0.2707814513999662
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-4 Return >= -0.093502,2pt,Fear and Greed Index,0.0005367470922564623,0.10017369131137417
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-4 Return >= -0.036365,1pt,const,-0.01573271508645161,0.35804416911338777
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-4 Return >= -0.036365,1pt,Skewness,-0.021320982585454274,0.047457821000550286
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-4 Return >= -0.036365,1pt,Median,-2.978478606816393e-07,0.19181859513737853
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-4 Return >= -0.036365,1pt,Fear and Greed Index,0.0007457663960146223,0.031111656090741083
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-4 Return >= -0.036365,2pt,const,-0.015731730078214434,0.3580611599908229
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-4 Return >= -0.036365,2pt,Skewness,-0.02131164716757092,0.04742296800136024
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-4 Return >= -0.036365,2pt,Median,-2.978749947474922e-07,0.1917793540224957
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-4 Return >= -0.036365,2pt,Fear and Greed Index,0.0007458063359012587,0.031101059265814628
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-4 Return <= 0.067365,1pt,const,-0.0022365065649101786,0.8936210366762961
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-4 Return <= 0.067365,1pt,Skewness,-0.005073557151816483,0.636872111548703
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-4 Return <= 0.067365,1pt,Median,-2.5926035969953136e-07,0.27712264221954686
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-4 Return <= 0.067365,1pt,Fear and Greed Index,0.0003713162268082345,0.26271651651420613
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-4 Return <= 0.067365,2pt,const,-0.0022162602833628794,0.8945713851892941
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-4 Return <= 0.067365,2pt,Skewness,-0.005030193280405008,0.6395799068981269
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-4 Return <= 0.067365,2pt,Median,-2.5912694308804594e-07,0.2773756270264698
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-4 Return <= 0.067365,2pt,Fear and Greed Index,0.0003707445107320875,0.2634199765745834
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-4 Return <= 0.108559,1pt,const,-0.010646215218058521,0.5059379879415379
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-4 Return <= 0.108559,1pt,Skewness,-0.00575046438722941,0.582192804634979
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-4 Return <= 0.108559,1pt,Median,-2.1383170838051606e-07,0.34641292833501924
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-4 Return <= 0.108559,1pt,Fear and Greed Index,0.00048646684401790083,0.129652907014948
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-4 Return <= 0.108559,2pt,const,-0.010628592242133174,0.5066386968180887
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-4 Return <= 0.108559,2pt,Skewness,-0.005711477162422939,0.5845782070080967
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-4 Return <= 0.108559,2pt,Median,-2.1370124381655297e-07,0.34670705024372195
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND T-4 Return <= 0.108559,2pt,Fear and Greed Index,0.00048594065114648105,0.13005909862954515
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Std >= 905.962517,1pt,const,-0.025110990445076826,0.16007213595135045
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Std >= 905.962517,1pt,Skewness,-0.006833653209987037,0.5348739940418032
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Std >= 905.962517,1pt,Median,-2.2896270847155572e-07,0.33013488939644353
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Std >= 905.962517,1pt,Fear and Greed Index,0.0007646766766658064,0.01906620271196454
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Std >= 905.962517,2pt,const,-0.02510426658663245,0.16012807759760186
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Std >= 905.962517,2pt,Skewness,-0.006831005523448111,0.5348565570230746
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Std >= 905.962517,2pt,Median,-2.2907516860806042e-07,0.329969477946371
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Std >= 905.962517,2pt,Fear and Greed Index,0.0007647098912768016,0.019068643829066517
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Std >= 1391.698789,1pt,const,-0.020504286350020606,0.27004014491847766
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Std >= 1391.698789,1pt,Skewness,-0.004844943383414937,0.6657972321145104
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Std >= 1391.698789,1pt,Median,-2.473091223133351e-07,0.31389194896264005
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Std >= 1391.698789,1pt,Fear and Greed Index,0.0007088219782383062,0.031312989040145574
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Std >= 1391.698789,2pt,const,-0.020506478337375938,0.2699279496018047
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Std >= 1391.698789,2pt,Skewness,-0.004866075763000922,0.664217569783705
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Std >= 1391.698789,2pt,Median,-2.474995402018793e-07,0.31359198151042245
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Std >= 1391.698789,2pt,Fear and Greed Index,0.0007091443996342263,0.031239502548037368
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Std >= 1942.592835,1pt,const,-0.018396118600323218,0.353711634202276
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Std >= 1942.592835,1pt,Skewness,-0.004753285020639665,0.678390613156213
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Std >= 1942.592835,1pt,Median,-2.7559094381534314e-07,0.2971559027905865
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Std >= 1942.592835,1pt,Fear and Greed Index,0.0007066928273287723,0.034933959225789964
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Std >= 1942.592835,2pt,const,-0.018385457239967373,0.35396855074033406
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Std >= 1942.592835,2pt,Skewness,-0.004726084270083375,0.6799732357056425
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Std >= 1942.592835,2pt,Median,-2.7550907657953417e-07,0.29731670438130525
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Std >= 1942.592835,2pt,Fear and Greed Index,0.0007063654723348343,0.03501249026738632
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Std <= 6617.949372,1pt,const,-0.027398118322213196,0.14436706941606675
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Std <= 6617.949372,1pt,Skewness,0.0057702293751413156,0.7111216908526767
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Std <= 6617.949372,1pt,Median,-2.0686180011960635e-07,0.4013968765778906
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Std <= 6617.949372,1pt,Fear and Greed Index,0.0008659172081546714,0.012854834793514255
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Std <= 6617.949372,2pt,const,-0.027414956277096163,0.14403250036888585
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Std <= 6617.949372,2pt,Skewness,0.005728301758510911,0.7128122570905553
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Std <= 6617.949372,2pt,Median,-2.068524171695801e-07,0.40149783473090306
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Std <= 6617.949372,2pt,Fear and Greed Index,0.0008662504177462711,0.012824486870570468
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Median >= 11541.060000,1pt,const,-0.025110990445076826,0.16007213595135045
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Median >= 11541.060000,1pt,Skewness,-0.006833653209987037,0.5348739940418032
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Median >= 11541.060000,1pt,Median,-2.2896270847155572e-07,0.33013488939644353
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Median >= 11541.060000,1pt,Fear and Greed Index,0.0007646766766658064,0.01906620271196454
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Median >= 11541.060000,2pt,const,-0.02510426658663245,0.16012807759760186
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Median >= 11541.060000,2pt,Skewness,-0.006831005523448111,0.5348565570230746
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Median >= 11541.060000,2pt,Median,-2.2907516860806042e-07,0.329969477946371
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Median >= 11541.060000,2pt,Fear and Greed Index,0.0007647098912768016,0.019068643829066517
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Median >= 21085.300000,1pt,const,-0.025110990445076826,0.16007213595135045
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Median >= 21085.300000,1pt,Skewness,-0.006833653209987037,0.5348739940418032
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Median >= 21085.300000,1pt,Median,-2.2896270847155572e-07,0.33013488939644353
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Median >= 21085.300000,1pt,Fear and Greed Index,0.0007646766766658064,0.01906620271196454
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Median >= 21085.300000,2pt,const,-0.02510426658663245,0.16012807759760186
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Median >= 21085.300000,2pt,Skewness,-0.006831005523448111,0.5348565570230746
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Median >= 21085.300000,2pt,Median,-2.2907516860806042e-07,0.329969477946371
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Median >= 21085.300000,2pt,Fear and Greed Index,0.0007647098912768016,0.019068643829066517
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Median >= 26584.620000,1pt,const,-0.01149808060912922,0.569055484551831
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Median >= 26584.620000,1pt,Skewness,-0.00518281531750484,0.6784337066293696
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Median >= 26584.620000,1pt,Median,-2.679514760463189e-07,0.30875285843822753
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Median >= 26584.620000,1pt,Fear and Greed Index,0.0005807942639142583,0.103736514149887
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Median >= 26584.620000,2pt,const,-0.011483803236501096,0.5695287941481953
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Median >= 26584.620000,2pt,Skewness,-0.005145709191881945,0.6806810218887507
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Median >= 26584.620000,2pt,Median,-2.678171112080499e-07,0.3090575428769023
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Median >= 26584.620000,2pt,Fear and Greed Index,0.000580321944574808,0.10409209472917426
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Median <= 96165.020000,1pt,const,-0.03294291059980354,0.14079404106665697
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Median <= 96165.020000,1pt,Skewness,-0.008350033954731382,0.4816766480444953
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Median <= 96165.020000,1pt,Median,-1.0499635844453578e-07,0.7701836495011868
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Median <= 96165.020000,1pt,Fear and Greed Index,0.0008245325265317395,0.020253794998559137
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Median <= 96165.020000,2pt,const,-0.03292951922219819,0.1408826447770721
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Median <= 96165.020000,2pt,Skewness,-0.008343354399933198,0.481818669539414
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Median <= 96165.020000,2pt,Median,-1.0521342837803914e-07,0.7697385045549491
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Median <= 96165.020000,2pt,Fear and Greed Index,0.0008245255066330937,0.020261497824321135
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Fear and Greed Index >= 22.000000,1pt,const,-0.0110311382598001,0.5835370034990932
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Fear and Greed Index >= 22.000000,1pt,Skewness,-0.006612973276933447,0.5514082899619481
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Fear and Greed Index >= 22.000000,1pt,Median,-2.7638831886271226e-07,0.23671255769527322
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Fear and Greed Index >= 22.000000,1pt,Fear and Greed Index,0.0005889782734090551,0.0916977529736772
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Fear and Greed Index >= 22.000000,2pt,const,-0.011024664404991395,0.583722282224574
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Fear and Greed Index >= 22.000000,2pt,Skewness,-0.006615285014430993,0.5510980443694525
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Fear and Greed Index >= 22.000000,2pt,Median,-2.7652146012017136e-07,0.23656414571583034
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Fear and Greed Index >= 22.000000,2pt,Fear and Greed Index,0.0005890513128258164,0.09166478390614548
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Fear and Greed Index >= 27.000000,1pt,const,-0.016578900249519444,0.45228524625386946
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Fear and Greed Index >= 27.000000,1pt,Skewness,-0.016903386878516585,0.11317582275762256
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Fear and Greed Index >= 27.000000,1pt,Median,-3.3986203611423865e-07,0.12190023363392284
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Fear and Greed Index >= 27.000000,1pt,Fear and Greed Index,0.0007697017478571111,0.03785878660699088
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Fear and Greed Index >= 27.000000,2pt,const,-0.016553194995765318,0.45294442851436223
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Fear and Greed Index >= 27.000000,2pt,Skewness,-0.016896585881469906,0.11315857033817012
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Fear and Greed Index >= 27.000000,2pt,Median,-3.401517912883937e-07,0.12165131025212035
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Fear and Greed Index >= 27.000000,2pt,Fear and Greed Index,0.0007696567296911163,0.03786376539028008
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Fear and Greed Index <= 76.000000,1pt,const,-0.02178661806242069,0.2149109007905996
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Fear and Greed Index <= 76.000000,1pt,Skewness,0.010583747114358555,0.46077722081665273
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Fear and Greed Index <= 76.000000,1pt,Median,2.218378351946923e-08,0.9229830805762325
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Fear and Greed Index <= 76.000000,1pt,Fear and Greed Index,0.0004006997356574015,0.2526518096789991
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Fear and Greed Index <= 76.000000,2pt,const,-0.021796718315742817,0.21460045912176803
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Fear and Greed Index <= 76.000000,2pt,Skewness,0.010573884179874402,0.4607083981219825
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Fear and Greed Index <= 76.000000,2pt,Median,2.2388225864331065e-08,0.9222899328737053
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Fear and Greed Index <= 76.000000,2pt,Fear and Greed Index,0.0004006004748898747,0.2528323659148643
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND VIX >= 13.498000,1pt,const,-0.029476000597552506,0.12175114415575078
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND VIX >= 13.498000,1pt,Skewness,-0.009903990134284153,0.3926712471045939
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND VIX >= 13.498000,1pt,Median,-2.5823791025146397e-07,0.30641329958804264
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND VIX >= 13.498000,1pt,Fear and Greed Index,0.0008661258799123826,0.015389386446369186
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND VIX >= 13.498000,2pt,const,-0.029468496640405514,0.1217956264336641
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND VIX >= 13.498000,2pt,Skewness,-0.0099062142463554,0.3923746897624596
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND VIX >= 13.498000,2pt,Median,-2.5842503797615424e-07,0.3061346598865026
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND VIX >= 13.498000,2pt,Fear and Greed Index,0.0008662585097458021,0.015380888959770947
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND VIX <= 24.808000,1pt,const,-0.012907799317775059,0.5122462532680573
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND VIX <= 24.808000,1pt,Skewness,-0.009908935069486039,0.3804746432047026
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND VIX <= 24.808000,1pt,Median,-3.158751239569806e-07,0.18502781927299577
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND VIX <= 24.808000,1pt,Fear and Greed Index,0.0006490341273535789,0.06098951040762555
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND VIX <= 24.808000,2pt,const,-0.0128969371591945,0.5125612704326733
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND VIX <= 24.808000,2pt,Skewness,-0.0099076310121,0.3803268862068214
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND VIX <= 24.808000,2pt,Median,-3.1606000927290075e-07,0.18484680996524305
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND VIX <= 24.808000,2pt,Fear and Greed Index,0.000649097539495581,0.060973135147163904
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND VIX <= 29.206000,1pt,const,-0.02405933040517729,0.19311133241926812
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND VIX <= 29.206000,1pt,Skewness,-0.010458055780612492,0.34439066534088847
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND VIX <= 29.206000,1pt,Median,-2.872113508308136e-07,0.23109421108839143
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND VIX <= 29.206000,1pt,Fear and Greed Index,0.0008002855537918071,0.018711115734473694
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND VIX <= 29.206000,2pt,const,-0.02404824759628026,0.19325604528184984
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND VIX <= 29.206000,2pt,Skewness,-0.010453015895254205,0.3444135513895258
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND VIX <= 29.206000,2pt,Median,-2.8738469205343237e-07,0.2308875304115182
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND VIX <= 29.206000,2pt,Fear and Greed Index,0.000800323084391334,0.01871263385009806
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND T-1 Return >= -0.093502,1pt,const,-0.024752680387128245,0.2007424999778248
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND T-1 Return >= -0.093502,1pt,Skewness,-0.0004380841313033775,0.9742220988631096
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND T-1 Return >= -0.093502,1pt,Median,-2.0784813199861034e-07,0.38138770162284896
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND T-1 Return >= -0.093502,1pt,Fear and Greed Index,0.0007182394975826612,0.03693508807383507
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND T-1 Return >= -0.093502,2pt,const,-0.024753748687393703,0.20067143647548222
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND T-1 Return >= -0.093502,2pt,Skewness,-0.00044319751082990506,0.9739038681401146
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND T-1 Return >= -0.093502,2pt,Median,-2.0787137674674817e-07,0.3814042170046378
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND T-1 Return >= -0.093502,2pt,Fear and Greed Index,0.0007182963148352989,0.03693130511811232
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND T-1 Return <= 0.106004,1pt,const,-0.02156409646612146,0.22768819880653351
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND T-1 Return <= 0.106004,1pt,Skewness,-0.0032815693024982866,0.783031212989185
