model_name,variables,filter_rule,method,variable,coefficient,p_value
model_1,Skewness + Median + Fear and Greed Index,Skewness >= -0.120100,2pt,Skewness,-0.009554127721189977,0.5068595731710976
model_1,Skewness + Median + Fear and Greed Index,Skewness >= -0.120100,2pt,Median,-4.478492869682262e-08,0.8547851189226633
model_1,Skewness + Median + Fear and Greed Index,Skewness >= -0.120100,2pt,Fear and Greed Index,0.00038148574961195843,0.29984688177166785
model_1,Skewness + Median + Fear and Greed Index,Skewness <= 0.256361,1pt,const,0.0062876385615336945,0.7009725525551644
model_1,Skewness + Median + Fear and Greed Index,Skewness <= 0.256361,1pt,Skewness,-0.002121108428428504,0.8832957762035696
model_1,Skewness + Median + Fear and Greed Index,Skewness <= 0.256361,1pt,Median,-1.7700347185913477e-07,0.4524905446944677
model_1,Skewness + Median + Fear and Greed Index,Skewness <= 0.256361,1pt,Fear and Greed Index,9.797679816189721e-05,0.768407451718118
model_1,Skewness + Median + Fear and Greed Index,Skewness <= 0.256361,2pt,const,0.006272983535452252,0.7016851409809612
model_1,Skewness + Median + Fear and Greed Index,Skewness <= 0.256361,2pt,Skewness,-0.002150775824026562,0.8818126828567365
model_1,Skewness + Median + Fear and Greed Index,Skewness <= 0.256361,2pt,Median,-1.76976567995771e-07,0.45241173084260056
model_1,Skewness + Median + Fear and Greed Index,Skewness <= 0.256361,2pt,Fear and Greed Index,9.817833024078901e-05,0.768018631757888
model_1,Skewness + Median + Fear and Greed Index,Skewness <= 0.347599,1pt,const,-0.003142679736600944,0.8527125861264696
model_1,Skewness + Median + Fear and Greed Index,Skewness <= 0.347599,1pt,Skewness,-0.006344157455638008,0.6691559050251076
model_1,Skewness + Median + Fear and Greed Index,Skewness <= 0.347599,1pt,Median,-5.4587220885618635e-08,0.8175635813022386
model_1,Skewness + Median + Fear and Greed Index,Skewness <= 0.347599,1pt,Fear and Greed Index,0.00015066656941757877,0.6531668437199678
model_1,Skewness + Median + Fear and Greed Index,Skewness <= 0.347599,2pt,const,-0.003147546423141501,0.8525157611639417
model_1,Skewness + Median + Fear and Greed Index,Skewness <= 0.347599,2pt,Skewness,-0.0063556310471040815,0.6690031253881494
