model_name,variables,filter_rule,num_rules,n_obs_after_filter,retention_ratio,n_oos,r2_1pt,r2_2pt,mse_1pt,mse_2pt,r2_os_1pt,r2_os_2pt,delta_1pt_minus_2pt,all_p_le_0_1_1pt,all_p_le_0_1_2pt,all_p_le_0_15_1pt,all_p_le_0_15_2pt,max_p_1pt,max_p_2pt,coef_1pt_Skewness,p_1pt_Skewness,coef_2pt_Skewness,p_2pt_Skewness,coef_1pt_Median,p_1pt_Median,coef_2pt_Median,p_2pt_Median,coef_1pt_Fear and Greed Index,p_1pt_Fear and Greed Index,coef_2pt_Fear and Greed Index,p_2pt_Fear and Greed Index,coef_1pt_Kurtosis,p_1pt_Kurtosis,coef_2pt_Kurtosis,p_2pt_Kurtosis
model_1,Skewness + Median + Fear and Greed Index,No filter,0,265,1.0,144,0.008241211610819699,0.008260795731945714,0.007583119015572389,0.00758296927278911,-0.014885379719973502,-0.014829541586296457,-5.5838133677044155e-05,False,False,False,False,0.5530495531606628,0.5501623600513534,-0.005754468692604958,0.5530495531606628,-0.005804647356790866,0.5501623600513534,-2.3054375709109852e-07,0.2651285922218042,-2.306668535320209e-07,0.2648826203992266,0.0003999811816337654,0.18663095144241612,0.0004006804796304877,0.1860212785417984,,,,
model_1,Skewness + Median + Fear and Greed Index,Skewness >= -0.523269,1,238,0.8981132075471698,117,0.006703817813366264,0.006708752556779607,0.007398985760038764,0.007398949001520107,-0.07519146140817279,-0.07477543675323339,-0.00041602465493939533,False,False,False,False,0.5401007965775828,0.5394753399313921,-0.00786772424765112,0.5401007965775828,-0.007889444186146745,0.5394753399313921,-1.9619214753100238e-07,0.3719410368759233,-1.9621006213557024e-07,0.3718555814248904,0.0003896899566358962,0.23509275411441022,0.0003898938282189356,0.2349155722033299,,,,
model_1,Skewness + Median + Fear and Greed Index,Skewness >= -0.268431,1,212,0.8,92,0.0038222841389252693,0.0038387726717524773,0.006946500661727533,0.006946385684648275,-0.05605029752922652,-0.055883663273224915,-0.00016663425600160764,False,False,False,False,0.582897687525457,0.582788706449098,-0.009256940241067024,0.48895604543470983,-0.009296378046856908,0.4874016308496154,-1.2475276464469726e-07,0.582897687525457,-1.247560160438677e-07,0.582788706449098,0.0002544505943627035,0.4465576315203824,0.000254850937078923,0.4458916284811081,,,,
model_1,Skewness + Median + Fear and Greed Index,Skewness >= -0.120100,1,185,0.6981132075471698,65,0.006970208052108906,0.007013784898771358,0.007225983941250689,0.007225666845432672,-0.03785898349654837,-0.03772329447342049,-0.0001356890231278829,False,False,False,False,0.8555759087730199,0.8547851189226633,-0.009463407160741179,0.5107042632628768,-0.009554127721189977,0.5068595731710976,-4.45552745517795e-08,0.8555759087730199,-4.478492869682262e-08,0.8547851189226633,0.00038066983478290603,0.3008415578824219,0.00038148574961195843,0.29984688177166785,,,,
model_1,Skewness + Median + Fear and Greed Index,Skewness <= 0.256361,1,185,0.6981132075471698,64,0.0037265719756506277,0.003729636560148464,0.006564428058816307,0.006564407866323061,-0.14460567326445073,-0.14456139852063643,-4.4274743814298745e-05,False,False,False,False,0.8832957762035696,0.8818126828567365,-0.002121108428428504,0.8832957762035696,-0.002150775824026562,0.8818126828567365,-1.7700347185913477e-07,0.4524905446944677,-1.76976567995771e-07,0.45241173084260056,9.797679816189721e-05,0.768407451718118,9.817833024078901e-05,0.768018631757888,,,,
model_1,Skewness + Median + Fear and Greed Index,Skewness <= 0.347599,1,212,0.8,91,0.0016170152223548007,0.0016178780973070683,0.007813099433988752,0.007813092681341819,-0.17632523854260818,-0.17617367529105254,-0.00015156325155563088,False,False,False,False,0.8175635813022386,0.8170968561552348,-0.006344157455638008,0.6691559050251076,-0.0063556310471040815,0.6690031253881494,-5.4587220885618635e-08,0.8175635813022386,-5.4717273735599527e-08,0.8170968561552348,0.00015066656941757877,0.6531668437199678,0.0001509260153717235,0.6527338439125998,,,,
model_1,Skewness + Median + Fear and Greed Index,Skewness <= 0.532648,1,238,0.8981132075471698,117,0.0018463847044780657,0.0018622576589358841,0.007393715220597705,0.007393597643399994,-0.0912357883363002,-0.09111355862740989,-0.00012222970889030904,False,False,False,False,0.7649023820036442,0.7648244943386181,-0.005825127942743024,0.6653372729264415,-0.005892300167292914,0.6622366506581814,-6.395898463583835e-08,0.7649023820036442,-6.397673571319715e-08,0.7648244943386181,0.00018576931636932618,0.5536819725787772,0.00018640508832038963,0.5525081366859524,,,,
model_1,Skewness + Median + Fear and Greed Index,Kurtosis >= 0.998813,1,238,0.8981132075471698,117,0.012221803478684623,0.01224125836734613,0.007777090476375884,0.007776937301877944,-0.008043655036070074,-0.008033658151916923,-9.996884153151697e-06,False,False,False,False,0.5679032155188146,0.5651869518165187,-0.005849022142138008,0.5679032155188146,-0.005896414162640178,0.5651869518165187,-3.360688948320126e-07,0.12663191282607422,-3.3619886555952653e-07,0.12648684711973865,0.0004287027020261639,0.19078796968921272,0.0004294386554015963,0.19018600006486677,,,,
model_1,Skewness + Median + Fear and Greed Index,Kurtosis >= 1.134304,1,212,0.8,91,0.0075182003061841085,0.00753461621028928,0.008350138779431273,0.008350000665989283,-0.04730880659681236,-0.047300746418205586,-8.060178606772439e-06,False,False,False,False,0.7037413810891369,0.7004144008867379,-0.0041088732596523325,0.7037413810891369,-0.004161902280511805,0.7004144008867379,-2.642803121767606e-07,0.2845117154191455,-2.644482445662044e-07,0.2842047923140442,0.0003733883611763758,0.2952545979299131,0.000374243730100198,0.29433535190976723,,,,
model_1,Skewness + Median + Fear and Greed Index,Kurtosis >= 1.270652,1,185,0.6981132075471698,64,0.015157170280998056,0.01518037250018578,0.00864805487759966,0.008647851135379317,-0.034985724857547584,-0.03513785398281377,0.00015212912526618716,False,False,False,False,0.5558808203804175,0.5534689628813747,-0.006583944597017594,0.5558808203804175,-0.0066311553123030035,0.5534689628813747,-3.7119509388207155e-07,0.17781911051110544,-3.713374301605623e-07,0.17764927084575519,0.0005603297515882799,0.14755654738572457,0.0005611800151110665,0.14710052891013536,,,,
