,34000,36000,37000,38000,39000,40000,41000,42000,43000,44000,45000,46000,47000
2021-09-25,0,0,0,0,0,0,1833.02163,1068.9845,470.53908,170.99652,63.53871,21.35352,21.147345
2021-09-26,0,0,0,0,0,2410.92273,2564.69932,1116.7275599999998,387.21942,86.02986,43.62199,21.648665,21.68182
