,19000,20000,21000,22000,23000,24000,25000,26000,27000,28000,29000,30000,31000,31500,32000,32500,33000,33500,34000,34500,35000,35500,36000,36500,37000,37500,38000,38500,39000,39500,40000,40500,41000,41500,42000,42500,43000,43500,44000,44500,45000,45500,46000,46500,47000,47500,48000,49000,50000,51000,52000,53000,54000,55000,56000,57000,58000,59000,60000,61000,62000,63000,64000,65000,66000,67000,68000,69000,70000
2023-11-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2133.3676800000003,1870.37928,1604.818275,1377.05667,1209.43008,1018.29258,893.8310429999999,773.7151,660.3894500000001,566.04255,472.04175,0,339.46937999999994,0,264.29452000000003,0,189.0203,0,177.546683,0,117.009593,0,109.465894,90.632064,75.5992,60.399696,0,0,0,37.74913,0,0,0,15.064756,18.850555,11.298216,15.098648000000004,7.530742,0,0,0,0,0,0,0
2023-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304.177,2169.07208,1764.64786,1666.27623,1495.20371,1319.9259,1144.64897,932.080996,874.51785,757.9435500000001,0,563.551635,0,386.8754,0,290.6094,0,212.721685,0,193.4787,0,161.13728399999997,126.691257,104.445882,84.36681000000002,53.054232,65.58730899999999,0,38.42079,30.550136,0,0,0,19.18298,15.534604000000002,11.607233999999998,11.619516,11.64294,0,0,0,0,0,0
2023-12-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2133.0991000000004,2094.8888,1967.05,1918.95294,1636.010095,1438.738385,1304.6602800000005,1103.99072,945.53832,848.96534,709.3602,0,532.148535,0,436.12591,0,295.46182500000003,0,236.59854,0,193.015165,133.569068,134.215102,118.3527,82.81106399999999,86.72213,0,70.899696,59.12802,55.107584,51.225135,0,19.7532,0,0,0,7.757674000000001,0,0,0,0,0,0
2023-12-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3399.6100999999994,3129.8393800000003,0,2370.0336,2245.5467350000004,2203.51175,1959.77754,1739.8025099999998,1391.46385,1360.79696,988.19675,890.1216,922.91893,0,722.4084,0,500.23937500000005,0,359.69066999999995,0,300.1494,0,173.59790800000002,182.088148,164.090651,123.570619,106.645437,66.88962799999999,0,63.30196800000001,55.372016,27.619375,40.08736,0,0,15.733144,20.033185000000003,0,11.828871,0,0,0,0,0,0
2023-12-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3620.16044,3771.63514,3858.33004,3080.680045,2991.61577,2956.5109000000007,2139.05559,1815.7392,1885.55265,1678.654,1580.470125,1412.954625,1220.95887,985.993025,701.4274800000001,843.559,604.966245,0,547.60888,0,398.84724,314.8794,251.42844,209.55115,190.43028,147.48237,122.278384,83.46900000000001,70.930409,52.807313,54.607904,0,29.103466,33.854272,29.051967,0,12.527034,12.524211,12.425813999999995,8.386722,0,0,0
2023-12-05,0,0,0,0,0,0,0,0,0,0,0,13969.850181000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6351.480159999999,0,5450.405119999999,5107.1842,4664.96248,4332.35702,3851.628375,3606.63224,3150.46446,2841.61329,2463.2423200000003,2224.2927000000004,2004.670395,1736.72889,1609.2755099999997,1364.5719499999998,1283.5197,1103.182,901.193325,838.8714699999999,703.7712,597.16386,463.604085,352.19976,240.54261,243.074865,91.72482,0,140.173472,118.271367,100.749683,87.60842,74.467157,65.706315,56.945473,48.184631,8.427882,21.624155,35.140784000000004,26.282526,0,13.029765,0
2023-12-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5872.03276,5636.845920000001,0,0,0,0,0,3145.43944,2961.5125500000004,2632.626,2190.376,2108.96976,1684.42043,1674.6227599999995,1430.488475,1091.999,938.541005,853.9679850000001,823.0810610000001,744.9362600000001,567.7525099999999,460.28766,349.78704,285.37691,219.09015,242.404965,192.821816,176.1838,136.43549499999995,123.342912,0,74.41659899999999,65.96481,52.98122399999999,0,0,30.728572,35.222728000000004,13.115862,22.069605,8.758682,8.749702000000001,8.712304
2023-12-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5872.626979999999,0,5626.38021,0,0,3804.28752,4066.659825,3506.7064,3254.55182,2377.7853,2028.63374,1842.21945,1582.0691399999998,1365.86709,1148.82588,996.39519,1029.49223,760.3575000000001,606.5724,496.588975,433.7564,390.58866,281.364395,216.7837,168.784473,134.327681,144.090375,108.434525,86.79814,78.07883399999999,56.301804,47.583547,47.65706,0,25.935168,0,17.287416,12.988505999999996,12.975701999999998,8.804152,4.325815,0,4.3219970000000005,4.374209
2023-12-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5643.87255,0,0,0,0,3269.109,3459.5925,2340.37512,0,2128.73872,1822.97133,1634.4457699999998,1526.049885,1375.67057,1105.336,1022.4029,794.7064799999999,684.313685,596.882655,533.20032,398.79612,333.07005,213.147936,194.964132,122.91286,114.07263399999998,92.757021,75.180885,66.54165,57.798234,56.780906,39.880224,26.079996,21.62758,17.286656,0,12.972294,4.342154000000001,8.740102,0,0,4.360692
