,32000,34000,35000,36000,37000,38000,39000,40000,41000,42000,43000,44000
2022-02-19,0,0,0,0,0,0,1139.98974,461.392075,179.72316,40.10814,60.18165,20.043585
2022-02-20,0,0,0,0,0,911.156335,76.87328,19.352220000000003,19.467845,19.80021,19.936085,0
