rank_by_r2_os_1pt,model_id,variables,screening_core_factors,screening_core_factor_min_pvalue,final_filter_rule,retention_ratio,n_obs_after_filter,n_oos,r2_os_1pt,r2_os_2pt,delta_1pt_minus_2pt,1pt_Kurtosis_coef,1pt_Kurtosis_p_value,1pt_T-1 Return_coef,1pt_T-1 Return_p_value,1pt_VIX_coef,1pt_VIX_p_value,1pt_const_coef,1pt_const_p_value,2pt_Kurtosis_coef,2pt_Kurtosis_p_value,2pt_T-1 Return_coef,2pt_T-1 Return_p_value,2pt_VIX_coef,2pt_VIX_p_value,2pt_const_coef,2pt_const_p_value
1,model_0293,Kurtosis + VIX + T-1 Return,Kurtosis,0.0335810001608311,Skewness >= -0.233984,0.8,196,76,0.0110579324883471,0.0071524179879375,0.0039055145004096,0.0124756439571089,0.2439375104778852,0.0525980670857051,0.5337878467726878,-0.0004946068362143,0.5867123830043701,-0.0059533714487219,0.7984655629981385,0.0133301116251281,0.2172474149473453,0.0508051836489171,0.5480853830567332,-0.000481660751828,0.5955945687219611,-0.0072573770716844,0.7571817018272889
2,model_0262,Kurtosis + VIX,Kurtosis,0.0257154095177936,Skewness >= -0.233984,0.8,196,76,0.0004839408849384,-0.0032452402307669,0.0037291811157054,0.0139269558016559,0.1821226483097729,,,-0.0005169594892908,0.5690147065841001,-0.0072588146799636,0.7542239608045808,0.014774580391635,0.1601933331527813,,,-0.0005013033522903,0.5798167559267768,-0.0085949338544099,0.7125613855900799
