model_id,variables,num_variables,n_obs,rsquared,adj_rsquared,aic,bic,core_factors,core_factor_min_pvalue,pass_pvalue_screen
model_0262,Kurtosis + VIX,2,246,0.020944741735470562,0.012886673766215218,-499.8974482520641,-489.381453644267,Kurtosis,0.02571540951779363,True
model_0518,Skewness + Kurtosis + VIX,3,246,0.021324208853795823,0.00919186433545438,-497.992812640656,-483.97148649692656,Skewness + Kurtosis,0.025873117491041132,True
model_0567,Skewness + Kurtosis + Mean + Median + VIX,5,246,0.024061939397931442,0.003729896468721794,-494.6819330555886,-473.6499438399944,Skewness + Kurtosis,0.026256541495609246,True
model_0524,Skewness + Kurtosis + Mean + Median,4,246,0.021503912955032733,0.005263313999929631,-496.0379872208971,-478.5113295412353,Skewness + Kurtosis,0.03229048043290964,True
model_0293,Kurtosis + VIX + T-1 Return,3,246,0.022902843950892704,0.010790069289126847,-498.3899388191121,-484.3686126753827,Kurtosis,0.03358100016083118,True
model_0513,Skewness + Kurtosis,2,246,0.018923558982052002,0.01084885576379735,-499.39012404140544,-488.87412943360835,Skewness + Kurtosis,0.034249141072858015,True
model_0257,Kurtosis,1,246,0.017775746252152502,0.01375023701548106,-501.10248398252065,-494.09182091065594,Kurtosis,0.03663394054461774,True
model_0517,Skewness + Kurtosis + Fear and Greed Index,3,246,0.021299899596684324,0.009167253723915914,-497.9867023403549,-483.96537619662547,Skewness + Kurtosis,0.04543028835234049,True
model_0261,Kurtosis + Fear and Greed Index,2,246,0.021197371049758384,0.013141382334118545,-499.9609327491421,-489.444938141345,Kurtosis,0.04553508844267737,True
model_0263,Kurtosis + T-1 Return,2,246,0.019862144441675667,0.011795166206627794,-499.62558228897956,-489.10958768118246,Kurtosis,0.0471104474249141,True
model_0566,Skewness + Kurtosis + Mean + Median + Fear and Greed Index,5,246,0.024421402387215574,0.004096848270282671,-494.7725578483535,-473.7405686327593,Skewness + Kurtosis,0.0685669780996769,True
model_0638,Skewness + Kurtosis + VIX + T-3 Return + T-4 Return,5,246,0.022385610685995427,0.0020186442419537487,-494.25975144037966,-473.22776222478547,Skewness + Kurtosis,0.023285915466008805,False
model_0552,Skewness + Kurtosis + VIX + T-4 Return,4,246,0.022212824982328905,0.00598399220195267,-496.2162767045627,-478.6896190249009,Skewness + Kurtosis,0.023550015170999482,False
model_0382,Kurtosis + VIX + T-3 Return + T-4 Return,4,246,0.021713637376276518,0.0054765193244304955,-496.0907188956237,-478.5640612159619,Kurtosis,0.023860737977690494,False
