model_id,variables,method,variable,coefficient,p_value,final_filter_rule,retention_ratio
model_0262,Kurtosis + VIX,1pt,const,-0.007258814679963617,0.7542239608045808,Skewness >= -0.233984,0.8
model_0262,Kurtosis + VIX,1pt,Kurtosis,0.013926955801655917,0.18212264830977298,Skewness >= -0.233984,0.8
model_0262,Kurtosis + VIX,1pt,VIX,-0.000516959489290844,0.5690147065841001,Skewness >= -0.233984,0.8
model_0262,Kurtosis + VIX,2pt,const,-0.00859493385440995,0.7125613855900799,Skewness >= -0.233984,0.8
model_0262,Kurtosis + VIX,2pt,Kurtosis,0.014774580391635022,0.16019333315278134,Skewness >= -0.233984,0.8
model_0262,Kurtosis + VIX,2pt,VIX,-0.0005013033522903643,0.5798167559267768,Skewness >= -0.233984,0.8
model_0518,Skewness + Kurtosis + VIX,1pt,const,-0.006283513445554707,0.7857677097847002,Skewness >= -0.233984,0.8
model_0518,Skewness + Kurtosis + VIX,1pt,Skewness,0.04207304970553438,0.1322882053580201,Skewness >= -0.233984,0.8
model_0518,Skewness + Kurtosis + VIX,1pt,Kurtosis,0.004281520768223175,0.7254235798094231,Skewness >= -0.233984,0.8
model_0518,Skewness + Kurtosis + VIX,1pt,VIX,-0.0002323639874438132,0.8014193993561264,Skewness >= -0.233984,0.8
model_0518,Skewness + Kurtosis + VIX,2pt,const,-0.007586326712003051,0.7444206113927267,Skewness >= -0.233984,0.8
model_0518,Skewness + Kurtosis + VIX,2pt,Skewness,0.04069575390279617,0.14567355615638955,Skewness >= -0.233984,0.8
model_0518,Skewness + Kurtosis + VIX,2pt,Kurtosis,0.005393443614124368,0.6606005688054538,Skewness >= -0.233984,0.8
model_0518,Skewness + Kurtosis + VIX,2pt,VIX,-0.00023376066479945904,0.7996334702579658,Skewness >= -0.233984,0.8
model_0567,Skewness + Kurtosis + Mean + Median + VIX,1pt,const,-0.021534715629233484,0.4840028261459183,Skewness >= -0.233984,0.8
model_0567,Skewness + Kurtosis + Mean + Median + VIX,1pt,Skewness,0.06848122539695509,0.07656230183913021,Skewness >= -0.233984,0.8
model_0567,Skewness + Kurtosis + Mean + Median + VIX,1pt,Kurtosis,0.005958773320619086,0.6289762236682289,Skewness >= -0.233984,0.8
model_0567,Skewness + Kurtosis + Mean + Median + VIX,1pt,Mean,-7.233275597363776e-05,0.34491611364988384,Skewness >= -0.233984,0.8
model_0567,Skewness + Kurtosis + Mean + Median + VIX,1pt,Median,7.252715532644618e-05,0.3442555856787233,Skewness >= -0.233984,0.8
model_0567,Skewness + Kurtosis + Mean + Median + VIX,1pt,VIX,-6.21030305465451e-05,0.9489128979974082,Skewness >= -0.233984,0.8
model_0567,Skewness + Kurtosis + Mean + Median + VIX,2pt,const,-0.022763911461243527,0.4578470760974668,Skewness >= -0.233984,0.8
model_0567,Skewness + Kurtosis + Mean + Median + VIX,2pt,Skewness,0.06776686987958891,0.08059638369601312,Skewness >= -0.233984,0.8
model_0567,Skewness + Kurtosis + Mean + Median + VIX,2pt,Kurtosis,0.007042134058746367,0.5705123411050718,Skewness >= -0.233984,0.8
model_0567,Skewness + Kurtosis + Mean + Median + VIX,2pt,Mean,-7.392791229314402e-05,0.33707993916525625,Skewness >= -0.233984,0.8
model_0567,Skewness + Kurtosis + Mean + Median + VIX,2pt,Median,7.412053055949998e-05,0.33645211873558933,Skewness >= -0.233984,0.8
model_0567,Skewness + Kurtosis + Mean + Median + VIX,2pt,VIX,-5.8934277057191495e-05,0.951500389971511,Skewness >= -0.233984,0.8
model_0524,Skewness + Kurtosis + Mean + Median,1pt,const,-0.011297082412063512,0.6125542067742087,VIX <= 21.670000,0.7020408163265306
model_0524,Skewness + Kurtosis + Mean + Median,1pt,Skewness,0.030030151489183997,0.32604502401693347,VIX <= 21.670000,0.7020408163265306
model_0524,Skewness + Kurtosis + Mean + Median,1pt,Kurtosis,0.01700175358556843,0.12379966964090845,VIX <= 21.670000,0.7020408163265306
model_0524,Skewness + Kurtosis + Mean + Median,1pt,Mean,-8.783742963409403e-05,0.09855380356208025,VIX <= 21.670000,0.7020408163265306
model_0524,Skewness + Kurtosis + Mean + Median,1pt,Median,8.771683662073403e-05,0.09925831779097784,VIX <= 21.670000,0.7020408163265306
model_0524,Skewness + Kurtosis + Mean + Median,2pt,const,-0.010956926026243515,0.6170532510829466,VIX <= 21.670000,0.7020408163265306
model_0524,Skewness + Kurtosis + Mean + Median,2pt,Skewness,0.029710365236730193,0.3337705626981601,VIX <= 21.670000,0.7020408163265306
model_0524,Skewness + Kurtosis + Mean + Median,2pt,Kurtosis,0.017306959773284142,0.11838010475981016,VIX <= 21.670000,0.7020408163265306
model_0524,Skewness + Kurtosis + Mean + Median,2pt,Mean,-8.805849227126377e-05,0.0984642025379204,VIX <= 21.670000,0.7020408163265306
model_0524,Skewness + Kurtosis + Mean + Median,2pt,Median,8.792825901477164e-05,0.09920601124760739,VIX <= 21.670000,0.7020408163265306
model_0293,Kurtosis + VIX + T-1 Return,1pt,const,-0.005953371448721923,0.7984655629981385,Skewness >= -0.233984,0.8
model_0293,Kurtosis + VIX + T-1 Return,1pt,Kurtosis,0.012475643957108928,0.24393751047788528,Skewness >= -0.233984,0.8
model_0293,Kurtosis + VIX + T-1 Return,1pt,VIX,-0.000494606836214316,0.5867123830043701,Skewness >= -0.233984,0.8
model_0293,Kurtosis + VIX + T-1 Return,1pt,T-1 Return,0.05259806708570512,0.5337878467726878,Skewness >= -0.233984,0.8
model_0293,Kurtosis + VIX + T-1 Return,2pt,const,-0.0072573770716844975,0.7571817018272889,Skewness >= -0.233984,0.8
model_0293,Kurtosis + VIX + T-1 Return,2pt,Kurtosis,0.013330111625128193,0.21724741494734534,Skewness >= -0.233984,0.8
model_0293,Kurtosis + VIX + T-1 Return,2pt,VIX,-0.00048166075182804564,0.5955945687219611,Skewness >= -0.233984,0.8
model_0293,Kurtosis + VIX + T-1 Return,2pt,T-1 Return,0.050805183648917174,0.5480853830567332,Skewness >= -0.233984,0.8
model_0513,Skewness + Kurtosis,1pt,const,-0.010103009007819904,0.561325136359333,Skewness >= -0.233984,0.8
model_0513,Skewness + Kurtosis,1pt,Skewness,0.04350366732701835,0.11113391515766334,Skewness >= -0.233984,0.8
model_0513,Skewness + Kurtosis,1pt,Kurtosis,0.0036492393245420697,0.7590804461522438,Skewness >= -0.233984,0.8
model_0513,Skewness + Kurtosis,2pt,const,-0.011507625094799195,0.5075754224784788,Skewness >= -0.233984,0.8
model_0513,Skewness + Kurtosis,2pt,Skewness,0.042105633970843985,0.1237025173827119,Skewness >= -0.233984,0.8
model_0513,Skewness + Kurtosis,2pt,Kurtosis,0.004805354002761275,0.689635379477487,Skewness >= -0.233984,0.8
model_0257,Kurtosis,1pt,const,-0.016202623985543,0.341932209343353,Skewness >= -0.233984,0.8
model_0257,Kurtosis,1pt,Kurtosis,0.013220520470851144,0.20120261765787403,Skewness >= -0.233984,0.8
model_0257,Kurtosis,2pt,const,-0.017429451593807634,0.30556845318886094,Skewness >= -0.233984,0.8
model_0257,Kurtosis,2pt,Kurtosis,0.014187094540685535,0.17440108469853907,Skewness >= -0.233984,0.8
model_0517,Skewness + Kurtosis + Fear and Greed Index,1pt,const,-0.019199386002286534,0.38796467352053265,Skewness >= -0.233984,0.8
model_0517,Skewness + Kurtosis + Fear and Greed Index,1pt,Skewness,0.03987049448960891,0.1527485848415055,Skewness >= -0.233984,0.8
model_0517,Skewness + Kurtosis + Fear and Greed Index,1pt,Kurtosis,0.002529557474969318,0.8335395999147875,Skewness >= -0.233984,0.8
model_0517,Skewness + Kurtosis + Fear and Greed Index,1pt,Fear and Greed Index,0.00021393550286301935,0.5100840731770809,Skewness >= -0.233984,0.8
model_0517,Skewness + Kurtosis + Fear and Greed Index,2pt,const,-0.020172448319849275,0.36087080574825714,Skewness >= -0.233984,0.8
model_0517,Skewness + Kurtosis + Fear and Greed Index,2pt,Skewness,0.03869621773783093,0.16540465732311957,Skewness >= -0.233984,0.8
model_0517,Skewness + Kurtosis + Fear and Greed Index,2pt,Kurtosis,0.003571400915924866,0.7698026953206658,Skewness >= -0.233984,0.8
model_0517,Skewness + Kurtosis + Fear and Greed Index,2pt,Fear and Greed Index,0.0002079380731003602,0.5233711360140483,Skewness >= -0.233984,0.8
model_0261,Kurtosis + Fear and Greed Index,1pt,const,-0.023783412704554925,0.2807362059924702,T-2 Return <= 0.059704,0.8
model_0261,Kurtosis + Fear and Greed Index,1pt,Kurtosis,0.015102129207877783,0.1291192287327522,T-2 Return <= 0.059704,0.8
model_0261,Kurtosis + Fear and Greed Index,1pt,Fear and Greed Index,0.00010502513510145896,0.7296720650836706,T-2 Return <= 0.059704,0.8
model_0261,Kurtosis + Fear and Greed Index,2pt,const,-0.024185638450905246,0.2707902337806735,T-2 Return <= 0.059704,0.8
model_0261,Kurtosis + Fear and Greed Index,2pt,Kurtosis,0.015727295684786716,0.11978419664033699,T-2 Return <= 0.059704,0.8
model_0261,Kurtosis + Fear and Greed Index,2pt,Fear and Greed Index,0.0001000851075796611,0.7419403660849435,T-2 Return <= 0.059704,0.8
model_0263,Kurtosis + T-1 Return,1pt,const,-0.014452108453420797,0.4030859707753206,Skewness >= -0.233984,0.8
model_0263,Kurtosis + T-1 Return,1pt,Kurtosis,0.011750759282051059,0.2677063529792632,Skewness >= -0.233984,0.8
model_0263,Kurtosis + T-1 Return,1pt,T-1 Return,0.05441189485682198,0.5186986228661896,Skewness >= -0.233984,0.8
model_0263,Kurtosis + T-1 Return,2pt,const,-0.015692127540979196,0.3633212686652757,Skewness >= -0.233984,0.8
model_0263,Kurtosis + T-1 Return,2pt,Kurtosis,0.012720391255167269,0.2353923766280113,Skewness >= -0.233984,0.8
model_0263,Kurtosis + T-1 Return,2pt,T-1 Return,0.052422644448702815,0.5344039371720444,Skewness >= -0.233984,0.8
model_0566,Skewness + Kurtosis + Mean + Median + Fear and Greed Index,1pt,const,-0.01798676747400657,0.4599600242346812,VIX <= 21.670000,0.7020408163265306
model_0566,Skewness + Kurtosis + Mean + Median + Fear and Greed Index,1pt,Skewness,0.024913241154210446,0.42878869274671483,VIX <= 21.670000,0.7020408163265306
model_0566,Skewness + Kurtosis + Mean + Median + Fear and Greed Index,1pt,Kurtosis,0.015127097515564732,0.18379825575195588,VIX <= 21.670000,0.7020408163265306
model_0566,Skewness + Kurtosis + Mean + Median + Fear and Greed Index,1pt,Mean,-8.482772948702648e-05,0.11228865999009122,VIX <= 21.670000,0.7020408163265306
model_0566,Skewness + Kurtosis + Mean + Median + Fear and Greed Index,1pt,Median,8.463004564623646e-05,0.11344304182521348,VIX <= 21.670000,0.7020408163265306
model_0566,Skewness + Kurtosis + Mean + Median + Fear and Greed Index,1pt,Fear and Greed Index,0.00025574013412273274,0.48769163096656665,VIX <= 21.670000,0.7020408163265306
model_0566,Skewness + Kurtosis + Mean + Median + Fear and Greed Index,2pt,const,-0.017619740347059393,0.4632004581221657,VIX <= 21.670000,0.7020408163265306
model_0566,Skewness + Kurtosis + Mean + Median + Fear and Greed Index,2pt,Skewness,0.024657156595931796,0.43589405282196414,VIX <= 21.670000,0.7020408163265306
model_0566,Skewness + Kurtosis + Mean + Median + Fear and Greed Index,2pt,Kurtosis,0.015446092267663157,0.17620820951677968,VIX <= 21.670000,0.7020408163265306
