model_id,variables,num_variables,screening_core_factors,screening_core_factor_min_pvalue,final_filter_rule,n_obs_after_filter,retention_ratio,n_oos,r2_os_1pt,r2_os_2pt,delta_1pt_minus_2pt,pass_oos_rule
model_0293,Kurtosis + VIX + T-1 Return,3,Kurtosis,0.03358100016083118,Skewness >= -0.233984,196,0.8,76,0.011057932488347189,0.007152417987937532,0.003905514500409657,True
model_0262,Kurtosis + VIX,2,Kurtosis,0.02571540951779363,Skewness >= -0.233984,196,0.8,76,0.00048394088493841636,-0.003245240230766999,0.0037291811157054156,True
model_0567,Skewness + Kurtosis + Mean + Median + VIX,5,Skewness + Kurtosis,0.026256541495609246,Skewness >= -0.233984,196,0.8,76,-0.1399312527443941,-0.15185281884923674,0.011921566104842629,False
model_0566,Skewness + Kurtosis + Mean + Median + Fear and Greed Index,5,Skewness + Kurtosis,0.0685669780996769,VIX <= 21.670000,172,0.7020408163265306,52,-0.38065160819629185,-0.3916494695993882,0.010997861403096332,False
model_0524,Skewness + Kurtosis + Mean + Median,4,Skewness + Kurtosis,0.03229048043290964,VIX <= 21.670000,172,0.7020408163265306,52,-0.358497314576236,-0.36933148366876534,0.010834169092529322,False
model_0518,Skewness + Kurtosis + VIX,3,Skewness + Kurtosis,0.025873117491041132,Skewness >= -0.233984,196,0.8,76,-0.05565061845247499,-0.06315794475420877,0.0075073263017337855,False
model_0513,Skewness + Kurtosis,2,Skewness + Kurtosis,0.034249141072858015,Skewness >= -0.233984,196,0.8,76,-0.045510761881184525,-0.05187982327643437,0.006369061395249842,False
model_0517,Skewness + Kurtosis + Fear and Greed Index,3,Skewness + Kurtosis,0.04543028835234049,Skewness >= -0.233984,196,0.8,76,-0.13456013645501796,-0.13901439790810288,0.004454261453084918,False
model_0261,Kurtosis + Fear and Greed Index,2,Kurtosis,0.04553508844267737,T-2 Return <= 0.059704,196,0.8,76,-0.08495094441795636,-0.08844187367532896,0.003490929257372599,False
model_0257,Kurtosis,1,Kurtosis,0.03663394054461774,Skewness >= -0.233984,196,0.8,76,-0.009325608052324519,-0.012497533781308467,0.0031719257289839486,False
model_0263,Kurtosis + T-1 Return,2,Kurtosis,0.0471104474249141,Skewness >= -0.233984,196,0.8,76,-0.000810012066749799,-0.003934256675710568,0.003124244608960769,False
