,10000,15000,18000,19000,20000,21000,22000,23000,24000,25000,26000,27000,28000,29000,30000,31000,32000,33000,34000,35000,36000,37000,38000,39000,40000,41000,42000,43000,44000,45000,46000,47000,48000,49000,50000,51000,52000,53000,54000,55000,56000,57000,58000,59000,60000,61000,62000,63000,64000,65000,66000,67000,68000,69000,70000,71000,72000,73000,74000,75000,76000,77000,80000,85000,90000,100000,120000
2023-04-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.04,57.9,0,0,0,0,0,0,0,59.13,0,0,0,0,60.25,0,0,0,0,60.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.78
2023-04-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.86,57.91,0,0,0,0,0,0,0,0,58.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,57.97,0,0,58.3,0,0,0,0,0,58.68,0,59.22,0,0,0,0,61.12,0,0,0,0,62.01,0,0,0,0,62.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.7,0,0,0,0,0,0,0,67.2,0,0,70.53,72.35
2023-04-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.01,56.99,0,0,0,57.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.79,0,0,0,0,62.89,0,0,0,0,0,0,0,0,0,65.3,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-19,0,0,0,0,59.53,0,0,0,0,0,0,0,0,57.26,58.82,0,58.06,0,0,58.33,58.06,0,0,0,59.59,0,0,0,0,0,0,0,0,0,61.52,0,0,0,0,0,0,0,0,0,63.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.71,0
2023-04-20,0,0,0,0,59.27,0,0,0,0,0,0,0,0,56.95,57.47,0,59.44,0,0,56.85,0,0,0,58.53,59.78,0,0,0,0,60.68,0,0,0,0,61.94,0,0,0,0,62.84,0,0,0,0,64.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.23,0,0,68.59,0
2023-04-21,0,0,0,0,57.77,0,0,0,0,0,0,56.3,56.43,56.52,56.77,55.76,56.01,56.12,0,0,0,0,0,0,59.54,0,0,0,0,60.42,0,0,0,0,61.51,0,0,0,0,62.59,0,0,0,0,63.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-22,0,62.67,0,0,0,0,0,0,0,0,0,0,56.13,0,0,0,0,0,0,58.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-23,0,0,0,0,0,0,0,0,0,0,0,0,57.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-24,0,0,0,0,0,0,0,0,0,0,0,0,55.75,0,0,0,0,0,0,56.46,0,57.35,0,0,0,0,0,0,0,0,0,0,0,0,60.49,0,0,0,0,61.81,0,0,0,0,62.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
