,61000,62000,63000,64000,65000,65500,66000,66500,67000,67500,68000,68500,69000,69500,70000,70500,71000,71500,72000,72500,73000,73500,74000,74500,75000,76000,77000,78000,79000,80000,81000,82000
2024-05-22,0,0,77.96,71.19,0,0,0,0,0,0,0,48.15,51.67,49.71,51.27,51.44,51.73,52.25,54.21,54.93,55.75,55.7,56.85,56.91,58.37,64.61,59.77,66.81,65.56,70.28,74.38,78.54
2024-05-23,0,0.0,78.24,73.8,67.93,65.66,64.04,59.63,48.37,48.5,48.23,49.57,47.88,59.96,48.91,50.69,49.88,51.36,55.45,57.95,57.19,62.87,66.46,79.71,73.79,80.43,81.08,86.11,83.92,0,0,90.51
2024-05-24,0,0,0,0,0,0,0,41.31,45.59,40.03,20.76,33.08,26.61,29.96,35.33,40.76,47.35,58.53,60.69,59.39,69.36,73.54,62.48,65.75,69.7,93.84,0,0,0,0,0,0
