date,96000,97000,98000,99000,100000,101000,102000,102500,103000,103500,104000,104500,105000,105500,106000,106500,107000,108000,109000,110000,111000,112000,114000,116000,118000,120000,122000
2025-01-17,53.69,0.0,49.61,47.01,48.11,47.67,47.56,0.0,43.75,0.0,44.21,0.0,45.17,0.0,46.9,0.0,47.1,47.87,48.13,51.84,0.0,51.64,58.95,61.64,59.23,67.63,0.0
2025-01-18,0.0,54.55,51.96,58.02,53.95,63.84,52.78,0.0,49.41,0.0,49.7,0.0,51.32,0.0,53.76,0.0,55.16,57.79,58.53,61.32,62.52,64.7,72.22,82.56,81.47,82.72,88.85
2025-01-19,79.64,134.27,130.7,96.39,92.07,80.66,90.46,95.29,85.11,84.31,86.11,99.77,95.09,101.72,97.67,97.1,97.65,110.32,116.44,141.12,99.33,142.7,172.47,170.84,100.87,97.28,232.73
