date,20000,20250,20500,20750,21000,21250,21500,22000,22500,23000,24000
2022-11-01,0.0,67.13,72.34,70.25,70.75,71.2,71.01,79.23,87.35,91.14,98.05
2022-11-02,49.29,41.34,48.87,60.97,69.28,78.53,78.15,87.84,109.16,107.96,124.95
