date,59000,62000,63500,64000,64500,65000,65500,66000,66500,67000,67500,68000,68500,69000,69500,70000,70500,71000,72000,73000,74000,75000
2024-06-16,0.0,0.0,0.0,0.0,0.0,0.0,42.75,0.0,41.6,39.52,41.26,43.15,42.54,45.09,46.19,46.97,46.28,46.03,47.05,57.75,51.57,54.02
2024-06-17,0.0,0.0,0.0,48.89,0.0,44.12,42.08,43.16,41.12,41.22,46.23,43.21,43.47,44.08,45.25,46.72,48.31,49.68,53.97,64.84,64.02,0.0
2024-06-18,0.0,71.13,49.97,48.34,39.67,32.62,33.8,41.77,41.43,49.95,57.85,61.03,66.39,88.85,69.28,66.24,80.09,79.06,73.26,0.0,0.0,0.0
