date,57000,59500,60000,60500,61000,61500,62000,62500,63000,63500,64000,64500,65000,65500,66000,67000,68000,69000,71000
2024-06-26,0.0,0.0,42.77,41.62,38.83,38.81,36.95,39.62,40.09,42.5,42.86,47.11,48.53,47.61,44.69,47.72,55.83,66.61,0.0
2024-06-27,0.0,46.19,46.82,45.29,43.68,43.13,42.28,44.34,41.76,44.53,44.23,45.2,46.38,50.56,58.7,62.52,64.98,68.41,79.29
2024-06-28,85.02,40.57,24.53,21.68,32.46,40.03,43.36,54.48,65.39,68.37,59.97,59.5,66.94,101.39,66.56,59.52,0.0,0.0,0.0
