date,40500,41000,41500,42000,42250,42500,42750,43000,43250,43500,43750,44000,44250,44500,44750,45000,45250,45500,45750,46000,46250,46500,47000,47500,48000,48500,49000,49500,50000,50500,51000,51500,52000,52500,53000,54000,55000,56000,57000
2024-01-03,53.19,83.56,81.12,72.24,66.91,63.79,0.0,64.57,67.29,67.09,67.66,68.35,67.3,68.08,70.72,70.71,72.15,73.65,76.58,74.2,76.16,81.81,79.22,83.05,93.05,91.73,100.88,95.16,105.93,104.02,106.95,83.95,103.86,103.07,116.4,120.88,126.22,130.78,0.0
2024-01-04,0.0,75.93,0.0,82.26,0.0,88.9,73.23,89.52,88.54,67.63,80.61,69.32,75.88,78.45,83.76,82.31,86.15,86.49,85.6,85.46,94.56,88.15,86.86,94.16,101.26,104.2,106.7,104.02,107.05,114.12,105.39,110.85,121.68,124.72,113.8,123.76,133.4,146.88,156.92
2024-01-05,0.0,58.11,0.0,81.55,78.49,73.63,62.67,72.44,60.54,54.69,39.2,51.09,51.51,55.97,59.22,69.22,70.73,77.32,74.26,85.54,82.39,83.09,105.05,113.38,108.81,120.94,131.54,140.93,152.56,159.01,143.76,187.86,186.18,166.22,177.77,160.13,182.24,204.58,196.46
