date,45000,47000,48000,49000,49500,50000,50500,51000,51500,52000,52500,53000,53500,54000,54500,55000,55500,56000,56500,57000,57500,58000,58500,59000,59500,60000,60500,61000,61500,62000,62500,63000,63500,64000,64500,65000,65500,66000,67000,68000,69000,70000,71000,72000
2024-08-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.95,52.86,54.79,52.21,52.42,51.53,53.69,51.69,59.88,60.85,53.75,60.67,58.69,63.19,73.0,67.03,63.8,60.44,0.0
2024-08-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.49,0.0,69.15,65.58,62.44,64.06,60.41,64.32,68.08,67.81,69.02,69.83,64.7,67.74,70.84,78.89,85.63,75.73,84.92,88.58,69.18,69.21,107.86,116.53,115.13
2024-08-05,0.0,168.51,164.63,171.85,162.08,91.64,141.35,88.77,110.99,123.22,114.75,97.1,92.88,93.94,80.9,88.79,85.49,87.44,86.71,89.19,101.7,85.16,99.32,110.78,103.12,113.51,122.51,147.32,113.86,125.35,178.33,131.17,137.77,178.29,174.8,176.14,181.34,197.71,209.63,188.97,227.61,236.76,164.49,0.0
