date,9750,9875,10000,10125,10250,10375,10500,10625,10750,10875,11000,11125
2020-02-11,173.23,99.34,55.42,61.86,51.96,59.53,58.88,63.69,65.66,70.17,70.62,74.04
2020-02-12,108.01,89.93,71.44,83.53,65.63,66.02,64.75,82.53,64.91,89.65,98.95,86.41
