date,22000,22250,22500,22750,23000,23250,23500,26000
2023-03-04,32.95,29.12,29.48,28.93,34.28,37.65,40.89,0.0
2023-03-05,30.55,37.55,32.18,36.41,34.62,36.56,39.69,197.97
