,24500,25000,25500,25750,26000,26250,26500,26750,27000,27250,27500,27750,28000,28250,28500,28750,29000,29500
2023-06-18,0,0,0,0,0,435.730185,343.74222999999995,197.125425,171.76575,118.94769,132.9064,0,79.7562,0,26.33022,0,13.16591,13.219575
2023-06-19,0,0,0,0,554.5054200000001,396.41595,359.114445,294.99228,187.37768000000003,134.23325,67.0385,0,26.730310000000003,0,13.37935,0,13.49108,0
2023-06-20,0,0,0,0,1365.9285,0,1645.903935,1646.04174,1286.21038,1164.16958,530.44998,535.85149,425.39475,183.877915,113.3368,0,28.32916,13.946845
