date,6000,7000,8000,9000,10000,10500,11000,11250,11750
2020-08-27,0.383590,0.294359,,0.147059,0.083723,0.053645,,0.008865,
2020-08-28,0.395880,0.306070,,,,,,0.020211,
2020-08-29,0.400741,0.310231,,,,,,0.022365,
2020-08-30,0.405285,0.314054,,,,,,0.024049,
2020-08-31,0.423832,0.332039,,,,,,0.041786,0.012514
2020-09-01,0.417441,0.324746,,,,,,0.030693,
2020-09-02,0.404636,0.310927,,,,,,0.011427,
2020-09-03,0.347282,0.251824,,,,,,,
2020-09-04,,,,,,,,,
2020-09-05,,,,,,,,,
2020-09-06,,,,,,,,,
2020-09-07,0.358310,,,,,,,,
2020-09-08,,,,,,,,,
2020-09-09,,,,,,,,,
2020-09-10,,,,,,,,,
2020-09-11,,,,,,,,,
2020-09-12,,,,,,,,,
2020-09-13,,0.284075,,,,,,,
2020-09-14,0.414703,,,,,,,,
2020-09-15,,,,,,,,,
2020-09-16,,,,,,,,,
2020-09-17,,,,,,,,,
2020-09-18,,,,,,,,,
2020-09-19,,,,,,,,,
2020-09-20,,,,,,,,,
2020-09-21,,,,,,,,,
2020-09-22,,,,,,,,,
2020-09-23,,,,,,,,,
2020-09-24,,,,,,,,,
2020-09-25,,,,,,,,,
2020-09-26,,,,,,,,,
2020-09-27,0.498071,,,,,,,,
2020-09-28,0.495548,,,,,,,,
2020-09-29,,,,,,,,,
2020-09-30,,,,,,,,,
2020-10-01,,,,,,,,,
2020-10-02,,,,,,,,,
2020-10-03,,,,,,,,,
2020-10-04,,0.406456,,,,,,,
2020-10-05,,,,,,,,,
2020-10-06,,,,,,,,,
2020-10-07,,,,,,,,,
2020-10-08,,,,,,,,,
2020-10-09,,,,,,,,0.017188,
2020-10-10,,,,,,,,,
2020-10-11,,,,,,,,,
2020-10-12,,,,,,,,,
2020-10-13,,,,,,,,,
2020-10-14,,,,,,,,,
2020-10-15,,,,,,,,,
2020-10-16,,,,,,,,,
2020-10-17,0.859537,,,,,,,,
2020-10-18,,,,,,,,,
2020-10-19,0.967392,,,,,,,,
2020-10-20,,,,,,,,,
2020-10-21,1.192435,,,,,,,,
2020-10-22,1.280924,1.030953,,,,,,,
2020-10-23,1.374886,1.107716,0.875385,,,,,0.271101,
2020-10-24,1.498555,1.210126,0.959344,,,,,,
2020-10-25,1.642036,1.326082,1.051370,,,,,,
2020-10-26,1.854171,1.501121,,,,,,,
2020-10-27,2.239522,1.832876,1.479600,,,,,,
2020-10-28,2.619601,2.120286,1.686207,,,,,,
2020-10-29,3.732745,3.026905,,,1.378023,,0.927984,0.820630,
