,27000,27500,28000,28500,29000,29500,29750,30000,30250,30500,30750,31000,31250,31500,31750,32000,32250,32500,32750,33000,33250,33500,33750,34000,34250,34500,34750,35000,35250,35500,35750,36000,36500,37000,37500,38000,38500,39000,39500,40000,41000,42000
2023-10-23,110.62,143.69,137.11,105.57,120.63,59.9,51.12,58.48,56.22,72.78,70.24,67.75,66.78,62.02,61.22,58.69,63.12,57.52,0,57.49,0,66.67,0,71.46,0,78.06,0,82.13,0,83.39,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-24,128.32,132.01,122.93,123.28,118.07,116.84,99.9,94.79,90.86,91.66,97.31,85.83,91.57,72.76,60.61,78.44,66.81,59.83,61.41,64.71,55.79,59.43,53.11,57.66,58.21,59.92,59.93,73.27,73.95,74.07,75.83,68.03,0,90.59,0,0,0,0,0,0,0,0
2023-10-25,189.67,0,0,0,127.78,128.23,147.24,124.86,134.8,124.47,119.02,132.35,127.25,121.9,108.1,111.14,94.98,95.32,92.39,73.85,71.32,62.9,54.47,45.93,42.51,44.27,65.48,63.06,0,77.08,0,80.59,87.33,0,0,0,0,0,0,0,0,0
