,24000,26000,27000,28000,29000,30000,31000,32000,33000,34000
2021-07-20,182.67,126.09,115.63,107.29,93.18,89.37,84.45,0,0,0
2021-07-21,0,122.7,149.42,172.56,134.43,100.07,91.81,86.31,93.43,0
