date,36000,37000,38000,39000,40000,41000,42000,43000
2022-02-05,100.41,96.33,74.08,64.85,55.55,49.41,55.39,0.0
2022-02-06,0.0,110.17,107.6,90.15,79.22,73.16,64.77,62.87
