,16000,16250,16500,16750,17000,17250,17500,17750,18500,19000
2022-12-10,0,49.64,43.96,41.04,35.83,33.22,0,0,0,0
2022-12-11,67.52,0,61.84,44.17,40.28,46.02,41.47,0,0,0.0
