date,48000,49000,50000,51000,52000,53000,54000,55000,56000,57000,58000,59000
2021-12-02,119.98,99.94,103.09,99.83,98.69,86.46,79.02,74.96,72.45,66.71,65.96,60.89
2021-12-03,145.12,133.39,116.89,102.28,76.71,67.01,62.13,84.15,71.8,92.46,235.98,152.55
