,45000,46000,47000,47500,48000,48500,49000,49500,50000,50500,51000,51500,52000,52500,53000,53500,54000,54500,55000,55500,56000,56500,57000,57250,57500,57750,58000,58250,58500,58750,59000,59250,59500,59750,60000,60250,60500,60750,61000,61250,61500,61750,62000,62250,62500,63000,63500,64000,64500,65000,66000,67000,68000,69000
2024-02-26,92.45,89.02,83.47,78.78,81.4,76.23,72.35,70.09,67.01,62.38,59.47,59.47,57.25,55.8,58.21,57.07,55.34,54.16,54.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-27,123.04,112.62,101.48,111.09,116.16,107.77,107.0,101.14,98.2,92.88,91.1,90.02,81.24,78.93,68.27,66.18,64.45,63.79,59.59,58.01,58.99,58.15,57.86,0,58.87,0,60.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-28,384.72,0,0,0,256.35,0,145.84,96.93,177.02,113.47,118.96,209.57,198.27,174.49,165.81,142.62,150.05,145.49,138.64,124.08,142.23,114.73,119.23,126.47,128.3,122.75,124.2,119.37,110.38,85.89,74.24,69.85,99.96,86.69,93.71,90.35,64.3,67.48,79.75,74.76,70.55,75.98,76.59,77.89,77.84,123.44,102.06,110.95,0,102.11,431.14,0,0,0
