date,75000,80000,85000,86000,88000,89000,90000,91000,92000,93000,94000,95000,96000,97000,98000,98500,99000,99500,100000,100500,101000,102000,103000,104000,105000,106000,108000,110000,115000,120000,125000,130000
2024-12-26,70.74,65.45,60.68,0.0,58.26,0.0,57.14,57.59,57.39,0.0,56.0,56.6,56.36,56.28,56.17,0.0,56.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-27,66.95,60.85,58.35,0.0,56.99,0.0,55.8,55.5,56.33,55.55,55.74,55.29,55.73,55.84,0.0,0.0,57.17,0.0,54.88,0.0,56.95,0.0,0.0,0.0,0.0,58.38,0.0,0.0,0.0,0.0,0.0,77.38
2024-12-28,67.56,61.35,57.15,0.0,55.9,0.0,54.86,55.02,54.96,54.91,54.83,54.81,56.03,56.89,56.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-29,65.68,60.79,56.15,0.0,55.37,54.94,55.27,54.87,55.14,0.0,54.8,55.81,54.81,55.73,55.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-30,68.55,60.51,56.61,55.48,55.7,55.38,55.65,54.46,53.79,54.27,54.85,55.71,55.41,57.97,55.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.96
2024-12-31,69.07,63.5,55.63,58.17,54.98,55.38,54.93,54.32,55.58,55.36,53.67,55.88,56.31,55.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01,70.24,61.3,58.95,58.06,57.9,56.12,53.91,53.95,55.68,53.29,54.42,55.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-02,71.92,65.4,60.89,58.3,57.26,55.64,55.66,55.8,54.83,53.9,56.3,54.97,53.89,54.42,54.49,0.0,56.85,0.0,57.22,0.0,57.34,0.0,56.25,0.0,0.0,0.0,0.0,0.0,0.0,64.11,66.22,67.0
2025-01-03,73.08,65.37,57.03,57.39,54.32,54.86,53.47,50.82,49.92,50.93,49.79,50.51,49.91,50.01,50.89,0.0,50.25,0.0,49.94,0.0,0.0,0.0,53.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-04,71.86,63.78,57.0,57.46,55.53,54.5,52.16,52.41,51.17,51.21,51.26,50.81,49.96,51.76,51.08,0.0,50.67,0.0,52.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-05,75.6,68.28,60.47,57.03,56.19,56.05,51.37,53.31,53.19,51.47,50.76,51.09,51.63,50.33,51.88,0.0,51.67,0.0,52.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-06,83.4,72.18,63.9,59.43,59.5,57.54,56.3,55.72,53.05,52.91,52.38,50.36,50.62,49.36,48.76,0.0,48.67,0.0,49.27,0.0,49.67,49.91,49.19,49.58,51.21,52.86,53.19,53.54,57.94,0.0,0.0,0.0
2025-01-07,77.2,67.44,56.29,57.49,52.57,54.16,52.23,51.38,49.95,50.23,50.32,49.79,49.92,50.64,50.05,0.0,50.72,0.0,51.21,0.0,50.83,49.43,49.64,51.65,53.63,52.33,0.0,51.23,53.07,0.0,0.0,0.0
2025-01-08,73.62,65.4,56.81,55.25,54.06,53.95,52.44,51.99,51.16,51.13,51.36,51.03,51.68,52.09,53.74,0.0,54.18,0.0,53.05,0.0,0.0,54.12,54.12,51.74,0.0,54.7,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-09,79.82,67.55,60.81,58.53,58.09,56.9,56.47,55.63,55.19,54.58,55.11,55.1,55.01,54.61,55.39,0.0,52.61,0.0,54.11,0.0,0.0,0.0,0.0,0.0,57.72,0.0,58.46,0.0,0.0,0.0,0.0,0.0
2025-01-10,79.28,69.86,58.07,58.36,52.98,56.49,50.38,49.63,50.93,48.91,49.97,48.77,49.94,50.56,47.12,0.0,55.34,0.0,49.13,0.0,52.62,53.36,56.78,49.58,45.51,51.45,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-11,80.29,74.42,61.18,58.16,55.55,55.35,54.49,50.49,51.21,51.32,50.49,48.57,52.39,47.31,51.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.96,0.0,0.0,0.0,64.82,0.0,0.0,0.0,0.0
2025-01-12,92.09,76.21,64.1,64.62,62.4,58.62,60.07,56.37,57.35,57.46,55.46,55.56,52.93,53.44,54.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-13,102.58,89.08,71.14,68.34,63.34,62.59,61.04,59.41,58.46,58.78,57.33,55.61,67.31,58.59,64.0,0.0,62.91,0.0,60.68,0.0,70.98,41.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.91
2025-01-14,108.83,96.06,79.47,77.81,67.3,66.08,62.71,60.43,58.85,57.06,54.19,53.86,54.47,53.87,55.42,0.0,60.43,0.0,61.37,0.0,57.16,64.93,63.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-15,149.75,141.47,101.17,111.11,87.94,85.82,83.89,76.52,72.75,63.54,62.46,54.31,50.81,50.97,49.81,0.0,47.19,0.0,48.08,0.0,49.08,59.13,58.52,57.59,51.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-16,178.4,275.52,149.82,133.4,116.97,100.19,106.65,127.74,114.64,101.5,89.52,76.08,68.98,61.46,42.86,52.39,37.43,40.96,39.21,42.09,45.12,49.47,55.16,0.0,68.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
