date,74000,76000,78000,80000,81000,82000,83000,83500,84000,84500,85000,85500,86000
2025-03-21,67.5,52.8,49.87,37.68,33.54,31.71,27.93,0.0,26.93,0.0,35.93,0.0,0.0
2025-03-22,73.56,60.73,50.74,38.19,39.46,33.49,28.59,0.0,25.74,0.0,26.74,0.0,28.41
2025-03-23,91.05,73.51,77.43,62.52,61.14,62.61,54.18,45.77,46.4,34.69,37.53,38.4,37.36
