,T Return,Mean,Std,Skewness,Kurtosis,5% Quantile,25% Quantile,Median,75% Quantile,95% Quantile,T-1 Return,T-2 Return,T-3 Return,T-4 Return,Fear and Greed Index,VIX
T Return,1.0,-0.05752045924046134,-0.11989707130464342,-0.027226336074907674,-0.07223713276447585,-0.04877500365954873,-0.055554982829104975,-0.05753071969133899,-0.059463955419716115,-0.0629688742574735,0.058947781053290356,-0.04030973965082283,-0.046098570373915175,0.0653177704495425,0.08158360642753978,-0.012718321354686571
Mean,-0.05752045924046134,1.0,0.6347275544123415,0.03850112944951869,-0.1387107991946648,0.9958107212126817,0.9995015064548466,0.9999590333395213,0.9996368975451121,0.9969674167046962,0.06967974153912017,0.06025239514822256,0.08453579193147752,0.10594389112611302,0.4026402163293214,-0.2648145468405694
Std,-0.11989707130464342,0.6347275544123415,1.0,0.31674974566166736,0.3440676091759307,0.5653439876713334,0.6116123794473578,0.6323944200143236,0.6518883870498826,0.6894879517766833,0.162783905348057,0.2250192197692978,0.19474913331547708,0.09553328284297474,0.4201352024811417,-0.025616729259808225
Skewness,-0.027226336074907674,0.03850112944951869,0.31674974566166736,1.0,0.3035352824525488,0.025872043504405296,0.026705359052483522,0.031062228580289588,0.03822788040736439,0.06282921023755395,0.3531293747641487,0.346736944633057,0.1913646165933888,0.1599801022582244,0.4450840936336355,-0.16978514918578377
Kurtosis,-0.07223713276447585,-0.1387107991946648,0.3440676091759307,0.3035352824525488,1.0,-0.17106797738995053,-0.14960082077139136,-0.1421773489770066,-0.13453066399519625,-0.10957730316607336,0.04986171612798423,0.23950677814015664,0.1104322739370131,0.018910507502616355,0.12297508012024995,0.13759708549380723
5% Quantile,-0.04877500365954873,0.9958107212126817,0.5653439876713334,0.025872043504405296,-0.17106797738995053,1.0,0.9980058913457626,0.995837811629196,0.9930775998561291,0.9859919907257529,0.06103305071434319,0.045700920601973116,0.06976757065994832,0.10530807275140351,0.3889914382639105,-0.28399923255893295
25% Quantile,-0.055554982829104975,0.9995015064548466,0.6116123794473578,0.026705359052483522,-0.14960082077139136,0.9980058913457626,1.0,0.999572494695899,0.9983761689241034,0.9940453614331823,0.06475482160225596,0.05318751217948386,0.07868927621023346,0.1034705829500827,0.39519116367252943,-0.26961481317534314
Median,-0.05753071969133899,0.9999590333395213,0.6323944200143236,0.031062228580289588,-0.1421773489770066,0.995837811629196,0.999572494695899,1.0,0.9996062742425375,0.9966969742777148,0.06763533180701722,0.05760267321901786,0.08311417810136115,0.10399266398981295,0.3993748222926339,-0.2636410552107288
75% Quantile,-0.059463955419716115,0.9996368975451121,0.6518883870498826,0.03822788040736439,-0.13453066399519625,0.9930775998561291,0.9983761689241034,0.9996062742425375,1.0,0.9985350334629812,0.07111630637182403,0.06272546804489201,0.08819743278541572,0.1056715129034219,0.40462354653423477,-0.25870097887187543
95% Quantile,-0.0629688742574735,0.9969674167046962,0.6894879517766833,0.06282921023755395,-0.10957730316607336,0.9859919907257529,0.9940453614331823,0.9966969742777148,0.9985350334629812,1.0,0.0809397286757546,0.07630535940064863,0.0999024753972124,0.11090594439183554,0.4191290439269122,-0.2512812736970027
T-1 Return,0.058947781053290356,0.06967974153912017,0.162783905348057,0.3531293747641487,0.04986171612798423,0.06103305071434319,0.06475482160225596,0.06763533180701722,0.07111630637182403,0.0809397286757546,1.0,0.07042576541689458,-0.04403348508002949,-0.05429988843181935,0.4143887572048351,-0.10391236732159405
T-2 Return,-0.04030973965082283,0.06025239514822256,0.2250192197692978,0.346736944633057,0.23950677814015664,0.045700920601973116,0.05318751217948386,0.05760267321901786,0.06272546804489201,0.07630535940064863,0.07042576541689458,1.0,0.052905322437211785,-0.031701577159135436,0.40172222902220467,-0.0763944781026053
T-3 Return,-0.046098570373915175,0.08453579193147752,0.19474913331547708,0.1913646165933888,0.1104322739370131,0.06976757065994832,0.07868927621023346,0.08311417810136115,0.08819743278541572,0.0999024753972124,-0.04403348508002949,0.052905322437211785,1.0,0.0894807804993374,0.31460519240334217,-0.0905624742734065
T-4 Return,0.0653177704495425,0.10594389112611302,0.09553328284297474,0.1599801022582244,0.018910507502616355,0.10530807275140351,0.1034705829500827,0.10399266398981295,0.1056715129034219,0.11090594439183554,-0.05429988843181935,-0.031701577159135436,0.0894807804993374,1.0,0.28907940303286006,-0.1213559922490207
Fear and Greed Index,0.08158360642753978,0.4026402163293214,0.4201352024811417,0.4450840936336355,0.12297508012024995,0.3889914382639105,0.39519116367252943,0.3993748222926339,0.40462354653423477,0.4191290439269122,0.4143887572048351,0.40172222902220467,0.31460519240334217,0.28907940303286006,1.0,-0.42321408736704796
VIX,-0.012718321354686571,-0.2648145468405694,-0.025616729259808225,-0.16978514918578377,0.13759708549380723,-0.28399923255893295,-0.26961481317534314,-0.2636410552107288,-0.25870097887187543,-0.2512812736970027,-0.10391236732159405,-0.0763944781026053,-0.0905624742734065,-0.1213559922490207,-0.42321408736704796,1.0
