Variable,count,mean,std,min,25%,50%,75%,max
T Return,220.0,0.005767209608131736,0.08409027859005137,-0.3515568333095296,-0.02995556493084,0.0030428798993773,0.040476614979269396,0.3246760764207447
Mean,220.0,51012.165379660044,27314.52373803183,11413.772950474244,28794.610470422842,43852.49039699663,64343.28175227929,117404.89624988528
Std,220.0,4021.333803519214,2260.508535177779,903.8370575216252,2154.388257897889,3795.8916101331274,5473.22522581078,16962.7989482718
Skewness,220.0,0.09055602695661545,0.6156473766912822,-2.9623452268001453,-0.13037906306674749,0.1150334041523921,0.28663804308041596,4.412055767316067
Kurtosis,220.0,2.007316512112778,2.507104011026391,0.2439190495160152,1.136294229504803,1.4942434351818132,1.9444203371204216,27.086280176998823
5% Quantile,220.0,44712.47363636363,25105.132277038738,10120.9,24928.1,37520.5,56898.700000000004,108390.5
25% Quantile,220.0,48640.43636363636,26433.963997344745,10818.5,27397.65,41681.75,61293.875,113898.5
Median,220.0,50975.780909090914,27303.755104489475,11315.3,28876.775,43725.600000000006,64288.125,117717.6
75% Quantile,220.0,53332.711818181815,28206.83565902263,11864.0,29681.05,45894.9,67483.125,121294.5
95% Quantile,220.0,57419.08227272727,29790.52861522168,13041.2,31777.225,51480.700000000004,72448.225,126749.5
T-1 Return,220.0,0.008209578223502398,0.08726712330380902,-0.3515568333095296,-0.02995556493084,0.003961713913702,0.047483869867223645,0.3246760764207447
T-2 Return,220.0,0.010565927563298251,0.08565631976846833,-0.3515568333095296,-0.028968534394179048,0.0061483857782062504,0.048901972245272846,0.3246760764207447
T-3 Return,220.0,0.008828783706226494,0.08590417393782676,-0.3515568333095296,-0.02844180922286387,0.004009276262031,0.04697385158904902,0.3246760764207447
T-4 Return,220.0,0.006304740673288133,0.08360006541778857,-0.3515568333095296,-0.028578966913886273,0.00327513715752515,0.04603215904344292,0.3071267293880281
Fear and Greed Index,220.0,52.8,21.214408819302776,10.0,33.75,53.0,71.25,95.0
VIX,220.0,18.492818181818183,4.211445186678619,11.93,15.06,17.93,21.3875,28.87
