Variable,Proposed_Coef,Proposed_p_value,Proposed_Sig,Proposed_R_squared,Proposed_MSE,Proposed_R2_OS,BF_Coef,BF_p_value,BF_Sig,BF_R_squared,BF_MSE,BF_R2_OS
Skewness,-0.008566670133882001,0.18209586145336207,,0.02441081297891934,0.006867204724824835,-0.055156974483885346,-0.008583987863098356,0.18114142379668785,,0.024446118900509184,0.006866956205268876,-0.05526206970719816
Median,-0.010490271851391383,0.09475222715152659,*,,,,-0.010494189332317987,0.09462848798205988,*,,,
Fear and Greed Index,0.014847217711646031,0.03446908490455478,**,,,,0.01485384487199649,0.03435945174062732,**,,,
OOS Setting,"expanding, initial_window=120",,,,,,"expanding, initial_window=120",,,,,
