date,10000,15000,20000,25000,28000,29000,30000,31000,32000,33000,34000,35000,36000,37000,38000,39000,40000,41000,42000,43000,44000,45000,46000,47000,48000,49000,50000,51000,52000,53000,54000,55000,56000,57000,58000,59000,60000,61000,62000,63000,65000,68000,70000,72000,74000,75000,76000,78000,80000,82000,84000,85000,86000,88000,90000,92000,94000,95000,96000,97000,98000,99000,100000,101000,102000,103000,104000,105000,106000,108000,110000,112000,114000,115000,120000,122000,125000,130000,135000,140000,150000,160000,180000,200000,240000,300000
2023-12-28,0.0,0.0,0.0,1376.21952,0.0,0.0,2656.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6272.793639999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12591.77876,13251.71333,0.0,14710.726559999997,0.0,0.0,0.0,0.0,18107.46675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37573.362960000006,0.0,0.0,41584.891500000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-29,126.27336000000001,382.30388999999997,862.297855,1662.5656649999999,2054.51616,2434.16562,2835.5879250000003,3010.4430599999996,3398.3520000000003,0.0,0.0,0.0,0.0,0.0,0.0,5879.456800000001,6628.6150800000005,6890.2632,7399.440999999999,7712.039795,8281.81926,8704.67338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13822.17501,0.0,0.0,0.0,0.0,0.0,0.0,18458.73836,0.0,0.0,0.0,22125.92109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-30,148.488235,0.0,1017.57576,1712.2565700000002,0.0,0.0,2628.70266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6247.130319999999,0.0,0.0,0.0,0.0,8653.764239999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,0.0,469.68933,0.0,1451.2138400000001,0.0,2242.9274849999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5337.1171349999995,0.0,0.0,0.0,6773.5341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16557.9675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-02,0.0,0.0,0.0,1403.86941,1665.9261099999999,1979.637,2345.33884,0.0,0.0,0.0,3424.35535,3651.0424,0.0,0.0,4589.809700000001,4798.7688,5375.9226,5646.58428,6205.75512,6590.4124,0.0,7509.604230000001,8091.340685,0.0,0.0,0.0,9791.14085,10557.33334,0.0,0.0,0.0,0.0,0.0,0.0,13434.7857,0.0,15597.891000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26142.07176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-03,192.22794,0.0,793.62484,1621.83868,2175.112285,0.0,2713.52576,2441.83518,0.0,3477.1282250000004,0.0,0.0,4442.29552,4846.39372,0.0,5802.380375,6143.742719999999,5502.634155,7086.50846,0.0,0.0,8626.79965,0.0,9929.10438,10007.8228,0.0,10945.59402,0.0,0.0,0.0,11321.6575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04,208.193973,354.88712,0.0,1465.32903,0.0,2196.5060000000003,0.0,0.0,0.0,0.0,0.0,0.0,4222.3187,0.0,0.0,5672.81745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10181.459340000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-05,0.0,264.82674000000003,0.0,1521.8486500000001,0.0,2195.9805,2613.4248000000002,0.0,0.0,0.0,0.0,4074.9112800000003,4443.3873,0.0,5345.79383,0.0,5926.305440000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
