Variable,T Return,Mean,Std,Skewness,Kurtosis,5% Quantile,25% Quantile,Median,75% Quantile,95% Quantile,T-1 Return,T-2 Return,T-3 Return,T-4 Return,Fear and Greed Index,VIX
T Return,1.0,-0.020504353617952963,-0.07619827819542704,0.18539378885761063,-0.11889016468751519,-0.016268338858272134,-0.023370218930017485,-0.023610732505004325,-0.022029963477914333,-0.021268762891211185,-0.01853860895615018,0.024476557663938282,0.002320739807275972,-0.02277987307092088,0.013069334428578622,0.04097937141990566
Mean,-0.020504353617952963,1.0,0.6613529203900357,-0.18218945150689136,-0.024599734719651507,0.9992336337446207,0.9994662148224379,0.9993854313946247,0.9991259116046445,0.9991458109424269,0.04098961994185769,-0.011275630724762198,0.007765307439900088,0.017573112578673975,0.4331010780390721,-0.36211431394809646
Std,-0.07619827819542704,0.6613529203900357,1.0,-0.10963394771569934,0.08274823985871972,0.6426090450901281,0.6633459614483105,0.6694112342941767,0.6754031946985003,0.6882484664484932,0.01541426524959487,0.019831439018690517,0.041399291926608406,0.0487168567449696,0.328979969840418,-0.20540128054961365
Skewness,0.18539378885761063,-0.18218945150689136,-0.10963394771569934,1.0,-0.41856183069260416,-0.16862481445738542,-0.18292280110730252,-0.18170334275614025,-0.17885031626523532,-0.16935317673606767,-0.1167144177764872,-0.006922982355696525,0.07867922821524222,-0.004087282645847627,0.025940711006396406,0.05664102719923398
Kurtosis,-0.11889016468751519,-0.024599734719651507,0.08274823985871972,-0.41856183069260416,1.0,-0.03416094771999292,-0.02412358371336896,-0.026015752756528364,-0.027561544816846303,-0.02495035451677232,0.006423064222436614,0.02951549016833103,-0.0267769430780533,-0.036600844044824624,-0.0944804193315297,0.07757117658768674
5% Quantile,-0.016268338858272134,0.9992336337446207,0.6426090450901281,-0.16862481445738542,-0.03416094771999292,1.0,0.9990181093078941,0.9986667257525915,0.99812513457985,0.997687425217134,0.043153295217832975,-0.011722403509844671,0.007238572270411055,0.015851788878428214,0.43096462291936305,-0.3635558327249059
25% Quantile,-0.023370218930017485,0.9994662148224379,0.6633459614483105,-0.18292280110730252,-0.02412358371336896,0.9990181093078941,1.0,0.9997828245126393,0.9993949128228523,0.9986826033348168,0.04455602474632831,-0.013368853171598362,0.008091132408618659,0.01693744458263114,0.4308906073777129,-0.36225333486056566
Median,-0.023610732505004325,0.9993854313946247,0.6694112342941767,-0.18170334275614025,-0.026015752756528364,0.9986667257525915,0.9997828245126393,1.0,0.9994650160869644,0.9989276993508593,0.04462932306191888,-0.013068272398739974,0.008534159098758648,0.018265194819305205,0.4328157405284864,-0.3622698227410198
75% Quantile,-0.022029963477914333,0.9991259116046445,0.6754031946985003,-0.17885031626523532,-0.027561544816846303,0.99812513457985,0.9993949128228523,0.9994650160869644,1.0,0.9990245042703265,0.04301960573277236,-0.012051865910137308,0.010386978589771627,0.019149951980737136,0.43333393403693155,-0.36211479959905923
95% Quantile,-0.021268762891211185,0.9991458109424269,0.6882484664484932,-0.16935317673606767,-0.02495035451677232,0.997687425217134,0.9986826033348168,0.9989276993508593,0.9990245042703265,1.0,0.03808928021136976,-0.010513649214002637,0.01155020802148666,0.019696060743426246,0.4367018425255644,-0.36042321621737144
T-1 Return,-0.01853860895615018,0.04098961994185769,0.01541426524959487,-0.1167144177764872,0.006423064222436614,0.043153295217832975,0.04455602474632831,0.04462932306191888,0.04301960573277236,0.03808928021136976,1.0,-0.03336256647073381,-0.012967349626202886,-0.02186922817339687,0.05956449455271603,-0.0841672361145424
T-2 Return,0.024476557663938282,-0.011275630724762198,0.019831439018690517,-0.006922982355696525,0.02951549016833103,-0.011722403509844671,-0.013368853171598362,-0.013068272398739974,-0.012051865910137308,-0.010513649214002637,-0.03336256647073381,1.0,-0.033088123021870953,0.010549152079991091,0.16216937577670212,-0.002422429224451023
T-3 Return,0.002320739807275972,0.007765307439900088,0.041399291926608406,0.07867922821524222,-0.0267769430780533,0.007238572270411055,0.008091132408618659,0.008534159098758648,0.010386978589771627,0.01155020802148666,-0.012967349626202886,-0.033088123021870953,1.0,-0.02893078118424665,0.13555785806701154,0.007700474854429093
T-4 Return,-0.02277987307092088,0.017573112578673975,0.0487168567449696,-0.004087282645847627,-0.036600844044824624,0.015851788878428214,0.01693744458263114,0.018265194819305205,0.019149951980737136,0.019696060743426246,-0.02186922817339687,0.010549152079991091,-0.02893078118424665,1.0,0.11619963788684452,-0.037552598033301826
Fear and Greed Index,0.013069334428578622,0.4331010780390721,0.328979969840418,0.025940711006396406,-0.0944804193315297,0.43096462291936305,0.4308906073777129,0.4328157405284864,0.43333393403693155,0.4367018425255644,0.05956449455271603,0.16216937577670212,0.13555785806701154,0.11619963788684452,1.0,-0.5054729444540662
VIX,0.04097937141990566,-0.36211431394809646,-0.20540128054961365,0.05664102719923398,0.07757117658768674,-0.3635558327249059,-0.36225333486056566,-0.3622698227410198,-0.36211479959905923,-0.36042321621737144,-0.0841672361145424,-0.002422429224451023,0.007700474854429093,-0.037552598033301826,-0.5054729444540662,1.0
