Variable,count,mean,std,min,25%,50%,75%,max
T Return,957.0,0.0016696052631254461,0.030589836987378435,-0.1525677793793299,-0.0116031160400314,0.0009766198683485,0.0162009122099635,0.1122873509141612
Mean,957.0,49556.25423523094,28360.243349467604,5376.309791239601,26633.57850169745,45174.38565596365,64355.15607214222,118056.77157163672
Std,957.0,1492.1720854517798,916.0606778029907,164.91011051968914,744.8913031136399,1422.6536803556507,2062.466889487227,13552.747999013003
Skewness,957.0,-0.26531869167592836,1.0388015822354202,-2.8324322106636046,-0.9791862305286156,-0.3523318028176375,0.3749959955936026,3.713690588634589
Kurtosis,957.0,2.553348278860061,2.4242586858005994,-1.2450599169984653,0.8558934828075082,1.8670145810865293,3.64072060563618,11.18417103199845
5% Quantile,957.0,47145.10668756531,27322.77413336394,4640.8,25605.6,42295.2,61096.3,115935.8
25% Quantile,957.0,49038.84137931034,28102.487976402568,4917.900000000001,26523.5,44640.7,63351.600000000006,117317.3
Median,957.0,49900.138035527685,28471.949347639253,5228.400000000001,26912.2,45727.4,64645.600000000006,118512.1
75% Quantile,957.0,50694.05235109719,28767.244168688612,5661.3,27262.6,46642.3,65660.7,120486.2
95% Quantile,957.0,51870.04012539185,29227.092879764557,6250.0,27646.2,47912.4,67175.40000000001,123879.2
T-1 Return,957.0,-0.00044775127790067283,0.028555667953124555,-0.1525677793793299,-0.0140937663868154,-0.0004177703515806,0.0137506324185205,0.1048996551538332
T-2 Return,957.0,0.0030637363316375855,0.03044019394346238,-0.1525677793793299,-0.0112651566020126,0.0019620750260613,0.0176876933678977,0.1122873509141612
T-3 Return,957.0,0.0020089349532933674,0.029471307621027315,-0.1394964019344246,-0.0124093238715747,0.0009973214844743,0.0169063326414037,0.1122873509141612
T-4 Return,957.0,0.002265196684907715,0.029668019186757495,-0.1525677793793299,-0.0112336284308603,0.001394881328481,0.0165920804871499,0.1122873509141612
Fear and Greed Index,957.0,51.96447230929989,21.442898583046077,7.0,31.0,53.0,72.0,95.0
VIX,957.0,19.94444096133751,6.297651370837648,11.86,15.55,18.56,22.99,65.54
