Variable,Proposed_Coef,Proposed_p_value,Proposed_Sig,Proposed_R_squared,Proposed_MSE,Proposed_R2_OS,BF_Coef,BF_p_value,BF_Sig,BF_R_squared,BF_MSE,BF_R2_OS
Skewness,0.004771053065202471,3.7059957120706636e-06,***,0.03697796577809631,0.0009001948081117681,-0.013432925055563372,0.0048256796476276904,3.27018536090883e-06,***,0.03701214356828775,0.0009001628600688472,-0.013948037734234475
Kurtosis,-0.0006624718794669136,0.12964620833772672,,,,,-0.0006457496194131229,0.14439959546180506,,,,
T-4 Return,-0.02515150913440189,0.4434989433729819,,,,,-0.024728333617796572,0.4511599484973077,,,,
OOS Setting,"expanding, initial_window=120",,,,,,"expanding, initial_window=120",,,,,
