Observation Date,Expiration Date,Mean,Std,Skewness,Kurtosis,5% Quantile,25% Quantile,Median,75% Quantile,95% Quantile
2020-01-03,2020-01-10,7312.683420158318,476.772266295428,-0.33094515693549537,1.502262027316311,6501.3,7041.6,7335.900000000001,7607.3,8044.3
2020-01-10,2020-01-17,8116.3405668714295,620.1841456264538,0.3246657397293978,1.8668114216627059,7185.5,7745.700000000001,8076.5,8453.6,9186.1
2020-01-17,2020-01-24,8899.917417148758,763.1015219507983,0.35256685670254634,2.8302108753029858,7752.8,8466.9,8865.300000000001,9296.4,10171.6
2020-01-24,2020-01-31,8401.090248011258,624.6586588219162,-0.2674964223627332,2.4371371445555905,7396.0,8058.200000000001,8407.9,8761.5,9382.300000000001
2020-01-31,2020-02-07,9367.528318590259,643.7028861594323,0.5390986059454442,1.9733740199268315,8414.7,8972.4,9320.0,9710.9,10492.7
2020-02-07,2020-02-14,9788.328984364336,734.2820869221741,0.6072342807697358,3.2095890035948385,8701.5,9362.9,9748.1,10161.300000000001,11014.1
2020-02-14,2020-02-21,10348.071893202345,855.7807839697381,0.4099651134291326,1.1915434167561365,9118.300000000001,9815.2,10246.0,10812.2,11902.800000000001
2020-02-21,2020-02-28,9685.026683287664,700.1370329829183,-0.04353219281032023,2.3710863535664624,8576.4,9294.1,9681.1,10077.300000000001,10807.5
2020-02-28,2020-03-06,8708.253190632642,695.6534904591364,0.7587333394960845,3.0484633832783157,7702.400000000001,8292.6,8653.5,9055.9,9911.2
2020-03-06,2020-03-13,9124.089103407554,608.1997462575032,0.2534773907534429,2.0402874186444935,8181.3,8765.1,9106.1,9462.4,10130.1
2020-03-13,2020-03-20,5434.874921440953,1386.8520133168115,0.9253211383477231,4.011368164407941,3396.4,4666.0,5320.700000000001,6064.5,7856.1
2020-03-20,2020-03-27,6079.8452057261,1436.0027062392144,-0.13045184313946542,2.253934323577635,3617.9,5346.700000000001,6115.400000000001,6896.6,8354.9
2020-04-17,2020-04-24,7071.9773934349005,684.329023592509,0.24721529362767325,1.1360915158023772,5968.1,6660.200000000001,7076.3,7495.700000000001,8215.1
2020-04-24,2020-05-01,7510.831877602803,590.3442605335963,-0.26355865245752047,2.1627185098765622,6524.400000000001,7188.5,7533.8,7856.200000000001,8414.4
2020-05-01,2020-05-08,8765.595066651344,844.0178541248738,-0.39274230974835406,2.308694187075921,7348.0,8312.2,8803.7,9263.7,10045.300000000001
2020-05-15,2020-05-22,9331.596450551888,1085.0900768593485,-0.8676091541875898,3.4030234208181076,7474.3,8797.300000000001,9414.9,9980.7,10895.300000000001
